Material Name,Product Category,Strength Rating,Weight Capacity (kg),Unit Cost ($),Biodegradability Score,CO2 Emission (kg),Recyclability (%),Fragility Level,Shipping Mode
bagasse,pharmaceuticals,34.0,5.7,0.26,0.99,1.13,75.2,2.0,Ground
jute,pharmaceuticals,49.0,7.9,0.16,0.95,1.2,76.2,2.0,Ground
paper,pharmaceuticals,37.0,5.8,0.24,0.87,1.07,88.3,2.0,Ground
bamboo,electronics,64.0,9.6,0.25,0.8,1.12,75.9,3.0,Air
bamboo,pharmaceuticals,62.0,11.1,0.24,0.85,1.2,80.1,2.0,Ground
paper,food,48.0,8.0,0.14,0.94,1.61,94.4,1.0,Ground
bagasse,electronics,44.0,6.8,0.14,0.95,0.77,81.0,3.0,Air
bagasse,food,45.0,7.8,0.17,0.96,0.82,76.6,1.0,Ground
bamboo,home,44.0,7.3,0.21,0.8,1.12,74.1,1.0,Ground
metal,electronics,90.0,16.8,0.42,0.0,12.76,94.5,3.0,Air
jute,home,42.0,,0.23,0.99,1.43,73.2,1.0,Ground
paper,pharmaceuticals,43.0,6.6,0.2,0.96,1.07,84.3,2.0,Ground
plastic,cosmetics,45.0,8.5,0.3,0.07,12.18,47.6,2.0,Ground
paper,pharmaceuticals,46.0,8.8,0.19,0.87,1.56,77.7,2.0,Ground
bamboo,electronics,58.0,10.1,0.25,0.81,0.85,,3.0,Air
metal,pharmaceuticals,79.0,10.9,0.62,0.0,20.36,90.7,2.0,Ground
paper,electronics,45.0,6.2,0.23,0.93,1.67,,3.0,Air
jute,cosmetics,38.0,7.2,0.28,,1.22,65.6,2.0,Ground
paper,home,42.0,6.3,,0.93,1.36,94.8,1.0,Ground
paper,home,54.0,8.7,0.17,0.88,1.35,91.8,1.0,Ground
plastic,pharmaceuticals,61.0,11.3,0.27,0.07,12.09,37.4,2.0,Ground
glass,cosmetics,92.0,13.2,,0.02,12.52,92.5,2.0,Ground
glass,cosmetics,88.0,14.4,0.42,0.02,21.61,85.0,2.0,Ground
plastic,home,79.0,14.7,0.4,0.15,11.37,45.3,1.0,Ground
bamboo,pharmaceuticals,50.0,7.6,0.24,0.76,1.03,77.4,2.0,Ground
plastic,home,56.0,7.8,0.21,0.24,6.33,39.9,1.0,Ground
glass,pharmaceuticals,94.0,12.7,0.47,0.02,16.09,88.4,2.0,Ground
bamboo,home,48.0,7.2,0.24,0.86,1.18,67.1,1.0,Ground
bagasse,pharmaceuticals,49.0,7.6,0.23,0.99,0.61,77.3,2.0,Ground
jute,cosmetics,42.0,6.2,0.27,0.9,1.57,74.4,2.0,Ground
plastic,electronics,65.0,12.5,0.3,0.21,10.09,31.4,3.0,Air
glass,pharmaceuticals,85.0,16.2,0.5,0.03,9.8,88.9,2.0,Ground
bamboo,electronics,47.0,7.2,0.29,0.81,1.22,71.5,3.0,Air
bagasse,food,39.0,6.5,0.21,0.91,0.73,75.9,1.0,Ground
paper,electronics,52.0,9.1,0.13,0.89,0.96,84.4,3.0,Air
plastic,pharmaceuticals,72.0,11.2,0.4,0.12,7.75,46.2,2.0,Ground
bagasse,cosmetics,42.0,6.6,0.17,0.94,0.68,75.8,2.0,Ground
metal,pharmaceuticals,97.0,14.4,0.6,0.0,20.27,92.7,2.0,Ground
paper,cosmetics,31.0,6.1,0.2,0.98,1.1,77.2,2.0,Ground
jute,pharmaceuticals,55.0,10.0,0.28,0.97,1.48,61.7,2.0,Ground
plastic,electronics,49.0,7.3,0.41,0.1,17.03,53.1,3.0,Air
metal,food,84.0,16.7,0.52,0.0,19.46,91.1,1.0,Ground
plastic,pharmaceuticals,52.0,9.3,0.38,0.19,14.61,44.9,2.0,Ground
glass,cosmetics,81.0,15.4,0.57,0.03,15.33,88.2,2.0,Ground
paper,cosmetics,43.0,6.7,0.15,0.97,1.73,84.8,2.0,Ground
metal,cosmetics,81.0,14.3,0.41,0.0,18.09,94.1,2.0,Ground
bagasse,electronics,43.0,6.3,0.27,,0.85,76.5,3.0,Air
bagasse,pharmaceuticals,41.0,6.8,0.21,0.93,1.2,87.8,2.0,Ground
jute,pharmaceuticals,44.0,5.9,0.23,1.0,1.64,79.9,2.0,Ground
paper,home,45.0,9.0,0.23,0.97,1.43,91.0,1.0,Ground
plastic,home,74.0,10.2,0.29,0.23,7.84,31.7,1.0,Ground
plastic,food,53.0,8.3,0.22,0.15,,47.3,1.0,Ground
jute,food,52.0,9.8,0.16,0.92,1.58,73.7,1.0,Ground
glass,cosmetics,72.0,11.8,0.48,0.02,13.07,94.8,2.0,Ground
metal,home,83.0,11.6,0.76,0.0,12.03,92.2,1.0,Ground
paper,electronics,48.0,9.6,0.22,0.88,1.51,76.2,3.0,Air
plastic,pharmaceuticals,53.0,8.1,0.4,0.17,17.82,30.0,2.0,Ground
paper,home,37.0,5.3,0.23,0.91,1.72,76.0,1.0,Ground
jute,food,43.0,6.4,0.19,0.96,1.33,78.6,1.0,Ground
paper,home,53.0,9.4,0.16,0.86,1.76,81.6,1.0,Ground
glass,cosmetics,90.0,17.8,0.37,0.03,17.45,90.8,2.0,Ground
paper,food,53.0,8.2,0.15,0.91,1.56,88.4,1.0,Ground
glass,cosmetics,81.0,16.2,0.33,0.01,20.9,90.1,2.0,Ground
paper,home,30.0,5.3,0.16,0.99,1.06,77.7,1.0,Ground
jute,home,46.0,6.5,0.2,0.93,1.59,74.7,1.0,Ground
jute,food,40.0,7.9,0.19,0.96,1.31,77.2,1.0,Ground
glass,home,82.0,11.2,0.48,0.01,21.41,85.5,1.0,Ground
paper,home,51.0,9.9,0.12,0.88,0.91,89.1,1.0,Ground
glass,electronics,81.0,11.8,0.35,0.03,14.69,93.8,3.0,Air
jute,food,35.0,5.7,0.28,0.97,1.07,69.5,1.0,Ground
glass,cosmetics,91.0,,0.32,0.02,12.37,90.5,2.0,Ground
bagasse,food,47.0,6.9,0.14,0.9,1.14,80.6,1.0,Ground
paper,home,41.0,6.4,0.18,0.95,1.68,82.6,1.0,Ground
metal,food,91.0,12.3,,0.0,22.75,88.4,1.0,Ground
glass,home,90.0,16.8,0.57,0.02,16.18,90.7,1.0,Ground
glass,pharmaceuticals,86.0,13.2,0.52,0.0,18.04,86.7,2.0,Ground
paper,food,48.0,7.6,0.16,0.92,1.68,93.1,1.0,Ground
paper,cosmetics,36.0,5.7,0.25,0.99,1.39,89.5,2.0,Ground
metal,home,91.0,15.8,0.38,0.0,19.35,94.4,1.0,Ground
plastic,electronics,62.0,11.9,0.39,0.17,14.66,30.3,3.0,Air
metal,pharmaceuticals,88.0,16.4,0.51,0.0,12.59,92.2,2.0,Ground
jute,electronics,57.0,8.6,0.3,0.93,0.91,76.9,3.0,Air
metal,electronics,84.0,13.2,0.75,0.0,14.3,96.7,3.0,Air
paper,electronics,47.0,6.7,0.15,0.98,1.49,92.5,3.0,Air
metal,food,87.0,17.2,0.42,0.0,18.29,94.6,1.0,Ground
bamboo,home,62.0,10.0,0.3,0.81,1.18,84.5,1.0,Ground
glass,pharmaceuticals,81.0,14.4,0.55,0.01,12.29,91.1,2.0,Ground
paper,electronics,44.0,8.2,0.24,0.93,1.42,93.7,3.0,Air
jute,cosmetics,42.0,6.9,0.26,0.94,1.03,69.8,2.0,Ground
bagasse,electronics,47.0,7.5,0.27,0.99,0.6,80.1,3.0,Air
metal,home,98.0,16.8,0.35,,23.58,97.3,1.0,Ground
plastic,electronics,62.0,8.9,0.35,0.12,17.43,33.2,3.0,Air
plastic,electronics,76.0,13.5,0.23,0.13,10.34,38.9,3.0,Air
paper,home,48.0,6.4,0.14,0.87,1.4,88.6,1.0,Ground
glass,home,78.0,10.6,0.55,0.01,13.02,86.5,1.0,Ground
glass,pharmaceuticals,80.0,11.5,0.31,0.0,21.12,88.6,2.0,Ground
bagasse,cosmetics,33.0,4.7,0.18,0.94,0.72,78.9,2.0,Ground
glass,pharmaceuticals,89.0,16.7,0.41,0.0,16.21,90.1,2.0,Ground
metal,cosmetics,83.0,16.1,0.52,0.0,,91.0,2.0,Ground
bamboo,electronics,61.0,9.3,0.34,0.83,0.95,82.0,3.0,Air
glass,home,91.0,14.7,0.42,0.02,19.27,94.0,1.0,Ground
glass,home,83.0,15.0,0.55,0.01,18.17,88.8,1.0,Ground
bamboo,food,45.0,6.6,,0.78,1.19,81.7,1.0,Ground
paper,cosmetics,48.0,6.8,0.24,1.0,1.04,88.5,2.0,Ground
paper,pharmaceuticals,31.0,5.8,0.24,0.88,1.13,76.5,2.0,Ground
paper,home,33.0,4.6,0.19,0.86,1.79,90.1,1.0,Ground
bagasse,cosmetics,30.0,4.7,0.14,0.96,0.94,88.6,2.0,Ground
metal,pharmaceuticals,86.0,14.3,0.44,0.0,23.98,88.3,2.0,Ground
metal,home,89.0,13.7,0.77,0.0,18.88,94.1,1.0,Ground
paper,electronics,51.0,8.7,0.13,0.92,1.69,90.5,3.0,Air
bamboo,home,48.0,6.5,0.2,0.89,0.71,72.1,1.0,Ground
bamboo,cosmetics,56.0,10.4,0.21,0.88,0.91,82.5,2.0,Ground
plastic,home,63.0,,,0.21,12.97,44.5,1.0,Ground
jute,food,43.0,7.2,0.21,0.9,1.09,71.3,1.0,Ground
glass,electronics,82.0,13.5,0.46,0.02,9.61,91.4,3.0,Air
jute,cosmetics,46.0,7.1,0.24,0.98,1.48,64.2,2.0,Ground
plastic,food,71.0,12.7,0.19,,11.57,27.0,1.0,Ground
glass,home,70.0,,0.32,0.02,14.9,94.8,1.0,Ground
paper,cosmetics,44.0,6.9,0.17,0.87,0.8,81.4,2.0,Ground
plastic,electronics,52.0,7.1,0.3,0.09,,26.3,3.0,Air
bagasse,electronics,45.0,7.1,0.18,0.92,0.86,83.2,3.0,Air
metal,pharmaceuticals,89.0,15.7,0.76,0.0,16.9,93.8,2.0,Ground
plastic,electronics,,13.0,0.42,0.22,15.48,,3.0,Air
plastic,electronics,,8.8,0.37,0.12,16.71,48.8,,Air
bagasse,cosmetics,44.0,7.4,0.18,0.9,1.07,79.5,2.0,Ground
metal,electronics,86.0,12.1,0.38,0.0,19.85,91.8,3.0,Air
plastic,food,55.0,7.6,0.35,0.05,13.25,39.5,1.0,Ground
glass,food,91.0,13.1,0.47,0.0,21.32,92.2,1.0,Ground
paper,pharmaceuticals,52.0,10.1,0.15,0.92,0.9,93.8,2.0,Ground
bamboo,electronics,40.0,7.8,0.21,0.75,1.05,82.4,3.0,Air
bamboo,home,44.0,6.1,0.25,0.78,0.91,68.7,1.0,Ground
metal,electronics,99.0,18.9,0.44,0.0,16.87,89.0,3.0,Air
plastic,pharmaceuticals,,8.2,0.37,0.14,15.66,44.8,2.0,Ground
metal,home,95.0,15.3,0.46,0.0,17.65,93.3,1.0,Ground
paper,electronics,30.0,,0.23,0.98,1.63,86.8,3.0,Air
bagasse,cosmetics,31.0,5.5,0.14,0.92,1.01,,2.0,Ground
paper,cosmetics,33.0,6.3,0.19,0.94,0.89,94.3,2.0,Ground
bagasse,cosmetics,35.0,4.9,0.24,0.99,0.67,79.9,2.0,Ground
jute,pharmaceuticals,48.0,,,0.92,1.42,65.9,2.0,Ground
plastic,cosmetics,66.0,9.0,0.44,0.22,11.34,31.9,2.0,Ground
paper,electronics,42.0,6.5,0.18,0.98,1.31,91.3,3.0,Air
metal,electronics,95.0,18.3,0.77,0.0,21.31,92.8,3.0,Air
jute,home,59.0,8.5,0.21,0.86,,71.8,1.0,Ground
plastic,home,61.0,8.5,0.26,0.21,17.36,54.1,1.0,Ground
plastic,cosmetics,79.0,13.7,0.45,0.21,15.82,33.8,2.0,Ground
metal,cosmetics,84.0,12.7,0.44,0.0,21.8,92.7,2.0,Ground
plastic,electronics,46.0,8.4,0.25,0.11,13.64,42.0,3.0,Air
plastic,pharmaceuticals,61.0,10.6,0.34,0.15,,27.1,2.0,Ground
metal,electronics,93.0,13.5,0.56,0.0,22.1,94.5,3.0,Air
glass,food,88.0,12.7,0.46,0.01,9.83,92.7,1.0,Ground
paper,food,39.0,6.2,0.2,0.97,1.79,75.3,1.0,Ground
plastic,food,79.0,,0.18,0.2,6.68,53.3,1.0,Ground
metal,electronics,82.0,13.0,0.44,0.0,16.94,92.8,3.0,Air
bamboo,home,55.0,8.5,0.24,0.77,1.03,67.0,1.0,Ground
plastic,cosmetics,76.0,13.7,0.44,0.12,6.45,44.4,2.0,Ground
bagasse,cosmetics,39.0,5.6,0.28,0.93,1.15,86.4,2.0,Ground
glass,cosmetics,90.0,13.2,0.54,0.0,20.6,91.8,2.0,Ground
paper,home,39.0,6.1,0.15,0.87,0.89,90.3,1.0,Ground
paper,pharmaceuticals,47.0,8.7,0.24,0.94,1.1,76.1,2.0,Ground
plastic,food,61.0,11.9,0.23,0.19,10.52,45.3,1.0,Ground
glass,home,70.0,12.8,0.49,0.02,19.92,89.4,1.0,Ground
bagasse,cosmetics,39.0,7.6,0.17,0.93,1.15,79.4,2.0,Ground
bagasse,electronics,31.0,4.5,0.2,0.9,0.73,75.4,3.0,Air
paper,food,44.0,5.9,0.23,0.88,1.74,82.1,1.0,Ground
jute,food,42.0,7.6,0.16,0.98,1.06,68.3,1.0,Ground
paper,home,38.0,5.3,0.2,0.98,1.24,77.6,1.0,Ground
metal,pharmaceuticals,92.0,12.6,0.67,0.0,12.16,,2.0,Ground
bamboo,cosmetics,43.0,6.1,0.34,0.77,1.09,84.8,2.0,Ground
bagasse,cosmetics,35.0,5.9,0.2,0.93,0.81,82.7,2.0,Ground
jute,cosmetics,58.0,8.1,0.18,0.89,,70.0,2.0,Ground
plastic,electronics,77.0,11.9,0.41,0.22,9.14,51.0,3.0,Air
bagasse,pharmaceuticals,48.0,7.4,0.23,0.97,1.04,85.6,2.0,Ground
glass,cosmetics,92.0,13.9,0.59,0.02,19.21,85.6,2.0,Ground
glass,home,90.0,13.5,0.36,0.02,19.78,89.7,1.0,Ground
glass,pharmaceuticals,85.0,11.7,0.41,0.01,17.32,91.6,2.0,Ground
bamboo,pharmaceuticals,41.0,7.8,0.21,0.84,0.87,76.0,2.0,Ground
glass,pharmaceuticals,84.0,11.3,0.52,0.01,10.21,91.3,2.0,Ground
plastic,electronics,72.0,9.7,0.42,0.07,7.16,30.4,3.0,Air
bamboo,cosmetics,62.0,11.7,0.34,0.88,1.1,,2.0,Ground
bagasse,pharmaceuticals,32.0,4.5,0.15,0.94,1.08,86.3,2.0,Ground
jute,food,40.0,7.5,0.23,0.96,1.69,67.7,1.0,Ground
glass,cosmetics,87.0,12.0,0.55,0.03,14.0,93.8,2.0,Ground
jute,food,49.0,7.6,0.19,0.99,1.13,73.2,1.0,Ground
bagasse,home,32.0,4.9,0.22,0.97,0.64,82.7,1.0,Ground
jute,home,57.0,,0.26,0.97,1.29,62.9,1.0,Ground
glass,food,91.0,13.3,0.54,0.02,12.69,90.1,1.0,Ground
plastic,electronics,72.0,11.8,0.3,0.07,11.04,46.5,3.0,Air
metal,food,77.0,10.9,0.56,0.0,16.05,91.5,1.0,Ground
bamboo,pharmaceuticals,47.0,7.7,0.23,0.84,1.19,73.4,2.0,Ground
bagasse,food,44.0,6.2,0.28,0.95,0.8,76.5,1.0,Ground
plastic,cosmetics,54.0,10.0,0.27,0.07,13.64,28.7,2.0,Ground
paper,pharmaceuticals,31.0,5.7,0.18,0.99,1.12,91.0,2.0,Ground
paper,electronics,53.0,8.6,0.15,0.89,1.61,78.7,3.0,Air
jute,home,40.0,6.4,0.29,0.86,1.66,63.8,,Ground
plastic,home,69.0,12.2,0.22,0.07,13.22,33.2,1.0,Ground
bamboo,food,49.0,9.7,0.29,0.82,0.74,72.7,1.0,Ground
bamboo,food,60.0,9.7,,0.76,0.98,75.4,1.0,Ground
metal,food,95.0,15.9,0.42,0.0,24.89,93.7,1.0,Ground
bamboo,cosmetics,43.0,7.4,0.22,0.89,1.19,84.9,2.0,Ground
bamboo,pharmaceuticals,58.0,10.4,,0.81,1.38,65.2,2.0,Ground
bamboo,electronics,55.0,9.9,0.29,0.84,1.11,78.5,3.0,Air
jute,cosmetics,50.0,6.7,0.26,0.97,1.11,73.8,2.0,Ground
glass,food,72.0,14.2,0.55,0.02,10.61,93.0,1.0,Ground
jute,cosmetics,46.0,8.8,0.18,0.96,1.68,65.7,2.0,Ground
jute,pharmaceuticals,38.0,5.5,0.27,0.95,1.18,61.6,2.0,Ground
plastic,home,77.0,15.0,0.27,0.24,17.85,33.9,1.0,Ground
jute,electronics,57.0,10.0,0.29,0.96,1.51,77.8,3.0,Air
jute,food,45.0,6.2,0.25,0.93,1.06,64.2,1.0,Ground
metal,food,88.0,13.2,0.4,0.0,18.14,95.2,1.0,Ground
bagasse,cosmetics,44.0,5.9,0.25,0.99,1.17,83.9,2.0,Ground
bamboo,pharmaceuticals,,8.1,0.25,0.9,0.77,84.9,2.0,Ground
jute,food,42.0,6.3,0.24,0.87,1.38,76.0,1.0,Ground
jute,electronics,42.0,7.3,0.2,0.86,0.94,79.8,3.0,Air
plastic,food,78.0,11.6,0.21,0.19,6.87,26.2,1.0,Ground
paper,home,37.0,7.1,0.18,0.99,0.83,78.4,1.0,Ground
paper,cosmetics,44.0,6.2,0.17,0.93,1.25,81.1,2.0,Ground
bamboo,food,55.0,7.7,0.32,0.87,0.84,73.7,1.0,Ground
bagasse,home,45.0,8.5,0.24,0.9,1.0,79.0,1.0,Ground
plastic,cosmetics,63.0,8.7,0.41,0.06,9.88,48.5,2.0,Ground
bamboo,food,40.0,7.0,0.34,0.89,0.72,74.9,1.0,Ground
glass,cosmetics,81.0,15.6,0.49,0.02,14.05,86.9,2.0,
bagasse,electronics,32.0,4.5,0.13,0.92,1.11,,3.0,Air
plastic,food,68.0,11.5,0.23,0.16,,34.1,1.0,Ground
jute,food,50.0,6.8,0.22,1.0,1.39,67.5,1.0,Ground
plastic,food,72.0,14.1,0.34,0.15,12.7,48.6,1.0,Ground
plastic,electronics,74.0,10.6,0.32,0.24,,39.3,3.0,Air
metal,home,94.0,15.3,0.71,0.0,20.21,98.0,1.0,Ground
jute,cosmetics,41.0,5.8,0.2,0.91,,60.7,2.0,Ground
plastic,food,66.0,13.1,0.36,0.09,17.79,36.2,1.0,Ground
plastic,food,73.0,13.9,0.19,0.22,14.18,48.1,1.0,Ground
bagasse,electronics,46.0,7.2,0.24,0.96,0.9,76.0,3.0,Air
bamboo,home,43.0,5.8,0.21,0.78,1.14,82.2,1.0,Ground
glass,food,90.0,14.7,0.51,0.0,,94.9,1.0,Ground
bagasse,pharmaceuticals,49.0,7.0,0.26,0.92,1.13,76.2,2.0,Ground
bagasse,home,33.0,4.9,0.15,1.0,0.67,88.3,1.0,Ground
bamboo,electronics,50.0,7.0,0.3,0.82,0.9,82.8,3.0,Air
paper,electronics,54.0,8.7,0.16,0.93,1.77,89.2,3.0,Air
paper,cosmetics,49.0,8.0,0.14,0.94,0.88,93.5,2.0,Ground
paper,cosmetics,42.0,7.0,0.23,0.98,1.37,78.5,2.0,Ground
jute,electronics,49.0,8.7,0.26,0.87,1.37,64.1,3.0,Air
paper,pharmaceuticals,35.0,5.8,0.2,0.96,1.65,92.7,2.0,Ground
glass,pharmaceuticals,88.0,12.8,0.41,0.02,10.16,90.2,2.0,Ground
bamboo,food,,8.5,0.23,,0.81,81.6,1.0,Ground
jute,pharmaceuticals,39.0,5.7,0.17,0.9,1.51,68.6,2.0,Ground
jute,cosmetics,36.0,6.5,0.28,0.87,1.56,76.7,2.0,Ground
bagasse,food,41.0,6.9,0.14,0.91,1.05,,1.0,Ground
plastic,cosmetics,49.0,8.4,0.4,0.06,9.65,32.5,2.0,Ground
bamboo,cosmetics,61.0,10.1,0.32,0.84,0.87,70.2,2.0,Ground
paper,home,52.0,7.6,0.14,0.92,1.33,90.5,1.0,Ground
paper,pharmaceuticals,43.0,7.9,0.13,0.87,1.38,87.4,2.0,Ground
bamboo,pharmaceuticals,41.0,6.4,0.3,0.75,1.39,73.3,2.0,Ground
bagasse,cosmetics,48.0,7.5,0.15,0.95,1.2,77.9,2.0,Ground
bamboo,cosmetics,49.0,7.5,0.34,0.79,0.81,78.4,2.0,Ground
jute,home,43.0,6.5,0.17,0.93,1.07,68.1,1.0,Ground
glass,home,91.0,12.7,0.39,0.01,18.95,91.7,1.0,Ground
jute,home,38.0,7.2,0.23,0.88,1.53,73.5,1.0,Ground
paper,electronics,35.0,5.7,0.22,1.0,1.14,78.1,3.0,Air
jute,pharmaceuticals,37.0,,0.27,0.98,1.38,70.5,2.0,Ground
glass,electronics,90.0,15.9,0.59,0.01,20.79,90.9,3.0,Air
paper,cosmetics,49.0,7.8,0.22,0.96,0.95,87.6,2.0,Ground
paper,pharmaceuticals,42.0,6.6,0.15,1.0,1.35,91.6,2.0,Ground
bamboo,food,61.0,8.3,0.32,0.83,1.25,65.1,1.0,Ground
jute,electronics,48.0,7.8,0.23,0.93,1.66,70.0,3.0,Air
metal,pharmaceuticals,78.0,13.3,0.38,0.0,19.98,91.4,2.0,Ground
bagasse,pharmaceuticals,32.0,4.8,0.27,0.96,0.86,78.4,2.0,Ground
glass,home,80.0,12.8,0.57,0.02,9.73,91.7,1.0,Ground
jute,pharmaceuticals,44.0,6.7,0.21,0.87,1.68,78.5,2.0,
plastic,food,66.0,9.3,0.32,0.14,14.1,40.7,1.0,Ground
jute,pharmaceuticals,35.0,5.6,0.29,0.95,0.98,67.9,2.0,Ground
plastic,cosmetics,70.0,10.4,0.4,0.21,7.16,28.9,2.0,Ground
metal,cosmetics,96.0,14.8,0.79,0.0,,89.0,2.0,Ground
bamboo,cosmetics,44.0,6.8,0.29,0.83,1.02,79.3,2.0,Ground
paper,food,53.0,7.4,0.15,0.88,1.46,92.4,1.0,Ground
bagasse,cosmetics,33.0,5.0,0.15,1.0,0.84,,2.0,Ground
paper,cosmetics,39.0,6.5,0.19,0.91,1.08,86.9,2.0,Ground
metal,cosmetics,,15.5,0.54,0.0,,90.3,2.0,Ground
metal,cosmetics,79.0,13.4,0.52,0.0,18.84,94.3,2.0,Ground
paper,food,50.0,9.1,0.12,0.92,,79.3,1.0,Ground
bagasse,pharmaceuticals,34.0,6.7,0.22,0.96,,83.7,2.0,Ground
paper,cosmetics,52.0,7.4,0.15,0.98,0.93,89.0,2.0,Ground
metal,home,88.0,12.0,0.38,0.0,17.6,96.4,1.0,Ground
bamboo,home,43.0,6.2,0.2,0.86,0.94,69.6,1.0,Ground
glass,food,88.0,16.2,0.37,0.01,15.57,88.5,1.0,Ground
bamboo,pharmaceuticals,,11.0,0.26,0.77,0.71,74.2,2.0,Ground
plastic,home,69.0,11.7,0.21,0.13,9.42,28.9,1.0,Ground
bamboo,cosmetics,62.0,11.0,0.23,,1.06,65.9,2.0,Ground
bagasse,home,39.0,6.5,0.27,1.0,0.86,,1.0,Ground
glass,food,71.0,10.0,0.35,0.0,16.4,89.3,1.0,Ground
jute,electronics,59.0,10.8,0.27,0.97,1.59,64.3,3.0,Air
glass,cosmetics,74.0,10.9,0.46,0.0,14.22,89.5,2.0,Ground
paper,pharmaceuticals,46.0,8.8,0.17,0.87,1.11,85.4,2.0,Ground
plastic,cosmetics,77.0,14.9,,0.05,8.19,,2.0,Ground
bamboo,pharmaceuticals,62.0,8.6,0.28,0.84,1.23,84.9,2.0,Ground
bamboo,electronics,40.0,6.0,0.27,0.86,0.92,67.7,3.0,Air
glass,cosmetics,73.0,12.3,0.5,0.02,12.18,93.1,2.0,Ground
paper,cosmetics,32.0,6.0,0.2,0.86,1.18,,2.0,Ground
paper,pharmaceuticals,52.0,7.9,0.25,0.9,1.24,95.0,2.0,Ground
jute,electronics,53.0,9.0,0.23,0.88,1.6,67.6,3.0,Air
paper,cosmetics,32.0,5.2,0.2,0.94,,80.8,2.0,Ground
plastic,home,50.0,7.4,0.34,0.12,6.12,54.0,1.0,Ground
plastic,home,52.0,,0.36,0.21,9.9,39.8,1.0,Ground
plastic,home,49.0,,0.35,0.1,17.45,38.1,1.0,Ground
plastic,electronics,67.0,10.8,,0.11,12.39,33.2,3.0,Air
bagasse,food,38.0,6.4,0.14,0.93,0.87,89.4,1.0,Ground
bagasse,cosmetics,49.0,9.6,0.17,0.92,0.64,87.4,2.0,Ground
paper,food,38.0,5.5,0.18,0.87,1.02,94.4,1.0,Ground
paper,cosmetics,42.0,6.1,0.19,0.92,1.19,87.8,2.0,Ground
bagasse,home,34.0,4.7,0.25,0.94,0.61,85.2,1.0,Ground
paper,food,33.0,5.5,0.13,0.95,1.02,77.3,1.0,Ground
plastic,cosmetics,45.0,6.1,0.19,0.11,9.91,,2.0,Ground
paper,cosmetics,41.0,7.9,0.16,0.99,,89.3,2.0,Ground
jute,home,38.0,5.5,0.29,0.95,1.61,,1.0,Ground
bamboo,electronics,63.0,11.3,0.26,0.84,0.74,68.9,3.0,Air
plastic,home,,8.7,0.31,0.24,16.12,54.4,1.0,Ground
jute,electronics,35.0,5.6,0.26,0.9,1.59,68.1,3.0,Air
jute,home,44.0,8.0,0.22,0.86,,70.2,1.0,Ground
bagasse,pharmaceuticals,34.0,4.7,0.24,0.92,0.72,88.6,2.0,Ground
jute,home,49.0,,0.28,0.97,0.96,72.6,1.0,Ground
paper,food,35.0,6.4,0.21,0.98,1.05,94.0,1.0,Ground
plastic,pharmaceuticals,49.0,9.8,0.41,0.22,7.04,40.0,2.0,Ground
plastic,home,49.0,9.7,0.35,0.24,11.43,28.1,1.0,Ground
bamboo,pharmaceuticals,56.0,9.1,0.23,0.89,1.04,74.8,2.0,Ground
plastic,food,45.0,6.3,0.41,0.13,11.46,36.0,1.0,Ground
paper,home,32.0,,0.14,0.86,,75.6,1.0,
plastic,pharmaceuticals,77.0,12.4,0.39,0.06,12.98,28.1,2.0,Ground
bagasse,food,46.0,6.3,0.2,0.99,0.61,83.3,1.0,Ground
bagasse,food,38.0,6.2,0.26,,1.19,79.0,1.0,Ground
bamboo,home,,10.5,0.33,0.78,0.89,81.6,1.0,Ground
bamboo,cosmetics,51.0,,0.31,0.78,0.99,70.5,2.0,Ground
bamboo,home,56.0,7.7,0.27,0.79,0.7,79.1,1.0,Ground
bamboo,pharmaceuticals,45.0,8.6,0.27,0.83,1.06,79.2,2.0,Ground
plastic,home,49.0,7.3,0.36,0.13,11.68,39.5,1.0,Ground
paper,home,,5.0,0.21,0.99,1.14,92.4,1.0,Ground
paper,food,54.0,10.2,0.16,0.88,1.08,84.8,1.0,Ground
plastic,home,52.0,7.2,0.25,0.2,9.25,47.0,1.0,Ground
metal,home,,13.3,0.4,0.0,19.32,89.1,1.0,Ground
plastic,home,59.0,11.1,0.44,0.18,11.85,27.1,,Ground
paper,home,41.0,5.7,0.24,,1.64,94.8,1.0,Ground
plastic,electronics,54.0,9.0,0.34,0.09,8.95,52.2,3.0,Air
plastic,food,46.0,6.9,0.3,0.22,17.77,44.3,1.0,Ground
glass,electronics,84.0,12.3,0.51,0.02,10.81,93.0,3.0,Air
glass,electronics,90.0,17.2,0.52,0.03,19.32,92.8,3.0,Air
plastic,cosmetics,56.0,8.3,0.19,0.1,13.87,31.1,2.0,Ground
plastic,electronics,49.0,8.7,0.32,0.09,13.68,31.7,3.0,Air
bamboo,cosmetics,52.0,9.0,0.3,0.78,0.9,69.3,2.0,Ground
paper,cosmetics,32.0,5.1,0.18,0.98,1.18,94.7,2.0,Ground
jute,electronics,40.0,5.8,0.27,0.99,1.26,64.8,3.0,Air
glass,cosmetics,82.0,13.1,0.35,0.02,19.7,90.5,2.0,Ground
plastic,pharmaceuticals,45.0,,0.34,0.22,17.99,42.9,2.0,Ground
jute,cosmetics,41.0,5.8,0.21,0.93,1.13,69.3,2.0,Ground
bamboo,pharmaceuticals,52.0,7.6,0.32,0.85,,,2.0,Ground
jute,pharmaceuticals,58.0,9.0,0.22,0.88,1.16,78.2,2.0,Ground
bamboo,home,54.0,9.9,,0.82,1.39,77.0,1.0,
