Material Name ,ProductCategory,Strength_Value,WtCapacity,Unit Cost($),Bio Score,CO2Emission,Recycle %,FragileLevel,Ship-Type
plastic,home,77.0,9.0,0.4,0.19,4.27,49.5,1,Air
jute,pharmaceuticals,84.0,9.0,0.38,0.94,17.83,18.7,1,Ground
bagasse,pharmaceuticals,30.0,24.0,0.76,0.52,,92.9,,Air
paper,pharmaceuticals,95.0,17.0,0.21,1.0,,59.1,3,
bamboo,food,59.0,24.0,0.11,0.52,19.44,12.1,,Air
metal,home,32.0,10.0,,0.54,2.65,18.4,3,
paper,pharmaceuticals,50.0,24.0,0.67,0.39,9.85,95.4,2,Ground
jute,home,78.0,22.0,0.25,0.31,12.91,73.8,3,Air
,cosmetics,91.0,6.0,0.27,0.25,7.08,73.4,,Ground
jute,cosmetics,67.0,10.0,0.19,0.34,13.47,7.2,3,Air
glass,pharmaceuticals,44.0,13.0,0.6,0.46,22.12,89.5,2,Ground
,home,81.0,,0.15,0.19,23.64,44.4,3,Ground
glass,home,75.0,5.0,0.33,0.22,2.96,66.0,,Ground
paper,home,54.0,5.0,0.3,0.27,7.16,,1,Ground
paper,food,50.0,23.0,0.49,0.45,24.49,10.0,1,Air
bamboo,cosmetics,34.0,9.0,0.61,,7.13,48.2,,
,home,99.0,17.0,0.47,0.86,17.47,5.0,,
bagasse,home,76.0,23.0,0.75,0.29,6.71,50.0,2,Ground
jute,food,97.0,16.0,0.77,0.18,9.23,25.2,2,
bagasse,food,47.0,20.0,0.35,0.38,5.19,91.1,1,Air
,home,50.0,23.0,0.64,0.89,21.48,39.8,2,
bagasse,electronics,52.0,7.0,,0.01,22.12,63.4,,
glass,home,93.0,,,0.68,7.77,86.0,1,Ground
bamboo,home,96.0,9.0,0.41,0.48,20.68,98.4,2,Ground
,food,69.0,,0.47,0.16,9.28,50.4,,Air
jute,food,39.0,11.0,0.39,0.32,2.93,45.6,2,Ground
jute,home,,17.0,0.7,0.22,19.07,7.6,3,
paper,home,90.0,19.0,0.26,0.88,15.11,1.3,2,Ground
bagasse,home,93.0,7.0,0.27,0.48,7.22,60.9,3,Ground
,food,,24.0,0.36,0.56,6.7,6.5,,Air
metal,home,,,,0.59,24.4,,2,Ground
glass,,84.0,12.0,0.49,0.64,21.63,0.4,3,Air
bamboo,pharmaceuticals,66.0,5.0,0.19,0.5,20.34,61.5,,Ground
paper,electronics,85.0,12.0,0.32,0.02,3.64,42.5,,Ground
bamboo,cosmetics,88.0,22.0,0.74,0.33,19.0,12.7,2,Ground
metal,electronics,98.0,24.0,0.39,0.18,5.76,29.6,2,
jute,pharmaceuticals,,20.0,,0.68,24.45,57.0,2,
jute,cosmetics,31.0,22.0,0.18,,1.78,65.7,2,Air
metal,home,94.0,24.0,0.27,0.56,9.13,46.2,,Ground
paper,pharmaceuticals,89.0,16.0,0.67,0.21,11.0,80.4,1,Air
glass,home,80.0,17.0,0.63,0.95,20.69,11.2,3,Ground
plastic,food,59.0,17.0,0.37,0.34,19.27,8.5,2,
paper,pharmaceuticals,40.0,14.0,0.77,0.33,9.69,4.4,3,Ground
plastic,,,11.0,0.74,0.92,14.36,53.6,3,Air
metal,pharmaceuticals,92.0,18.0,0.77,0.42,20.97,70.6,2,Air
bagasse,pharmaceuticals,93.0,20.0,0.4,0.96,0.95,,2,Air
,food,90.0,19.0,0.24,0.02,,63.9,3,
glass,cosmetics,83.0,16.0,0.54,0.31,23.7,47.7,1,Air
bagasse,,87.0,13.0,0.58,0.67,1.29,98.7,1,Ground
plastic,home,,12.0,0.19,0.89,1.62,71.7,3,Air
metal,pharmaceuticals,63.0,22.0,0.65,0.26,8.94,65.7,1,
bagasse,home,60.0,22.0,0.11,0.93,,57.0,,Ground
metal,food,81.0,17.0,0.44,,12.24,99.7,,
plastic,home,30.0,22.0,0.33,0.8,18.35,98.0,2,Air
metal,food,84.0,19.0,0.62,0.4,14.39,53.8,3,Ground
glass,home,51.0,8.0,0.32,0.21,,45.5,2,Air
plastic,electronics,69.0,21.0,0.68,0.91,16.54,46.2,3,Air
plastic,electronics,30.0,9.0,0.52,,17.28,42.8,3,Ground
plastic,electronics,94.0,20.0,0.66,0.5,23.34,53.1,1,Ground
paper,electronics,92.0,13.0,0.79,0.01,4.1,27.4,2,Air
paper,electronics,83.0,14.0,,0.11,,92.7,3,Air
paper,electronics,71.0,,0.79,0.57,,,1,Air
glass,food,50.0,21.0,0.12,0.02,12.79,84.2,,Ground
bagasse,pharmaceuticals,51.0,22.0,0.34,0.4,9.36,47.5,2,
metal,home,67.0,11.0,0.18,0.3,4.68,71.8,2,Air
jute,electronics,37.0,8.0,0.28,0.71,21.74,33.7,1,Air
plastic,food,91.0,,0.69,0.06,10.16,62.5,3,
metal,food,76.0,20.0,0.12,0.49,23.16,49.8,3,Air
plastic,food,46.0,7.0,0.46,0.58,21.27,36.7,2,
glass,pharmaceuticals,46.0,,0.5,0.62,9.73,88.2,3,Air
plastic,home,,18.0,,0.41,14.56,11.3,3,
paper,pharmaceuticals,46.0,19.0,0.43,0.3,1.17,48.7,1,Ground
jute,cosmetics,67.0,,0.65,0.68,6.95,19.4,2,Ground
bamboo,food,74.0,5.0,,0.85,17.9,86.1,1,Air
plastic,cosmetics,35.0,21.0,0.32,0.69,17.11,25.3,1,Air
metal,electronics,64.0,15.0,0.53,0.93,9.16,63.3,1,
paper,,43.0,21.0,0.58,0.72,20.31,16.6,,Ground
bamboo,pharmaceuticals,90.0,18.0,0.38,0.76,6.28,40.5,,Ground
jute,home,,24.0,,0.17,11.8,89.9,1,
bamboo,cosmetics,83.0,23.0,0.39,0.42,12.08,,,Air
paper,home,56.0,11.0,0.38,,8.85,66.3,1,Ground
bagasse,pharmaceuticals,42.0,17.0,0.13,0.26,23.89,20.5,3,Air
bagasse,electronics,60.0,22.0,0.49,,17.57,41.6,2,
,home,64.0,18.0,0.6,0.29,,54.1,3,
glass,home,89.0,5.0,0.18,0.69,13.01,57.7,2,Air
metal,electronics,35.0,11.0,0.31,,4.4,60.3,3,Air
metal,cosmetics,98.0,12.0,0.65,0.46,9.62,64.0,2,Air
,electronics,87.0,22.0,0.36,0.98,16.98,27.2,1,Ground
plastic,home,78.0,,0.27,0.39,23.15,40.1,1,Ground
plastic,cosmetics,52.0,5.0,0.57,0.36,20.5,3.7,2,Air
metal,cosmetics,63.0,21.0,0.24,0.32,7.86,76.9,,Ground
metal,electronics,55.0,23.0,0.73,0.89,11.13,83.7,2,Ground
bagasse,home,76.0,10.0,0.17,0.5,2.53,19.9,1,Ground
glass,pharmaceuticals,34.0,7.0,,0.6,3.0,20.1,,Ground
paper,home,49.0,9.0,0.45,0.18,12.02,4.2,1,Air
plastic,food,35.0,,0.71,0.54,13.49,97.0,1,Air
metal,pharmaceuticals,99.0,24.0,0.19,0.27,6.97,80.7,3,
bagasse,cosmetics,88.0,8.0,0.57,0.73,16.25,36.1,3,Ground
jute,,93.0,14.0,0.5,0.83,17.73,48.2,2,
bagasse,cosmetics,47.0,14.0,0.44,0.71,7.83,29.2,3,Air
plastic,cosmetics,33.0,,0.44,0.73,19.08,59.7,3,
plastic,pharmaceuticals,46.0,20.0,,0.51,5.54,71.7,1,Air
bagasse,cosmetics,43.0,21.0,0.76,0.71,13.83,44.7,3,Air
paper,cosmetics,42.0,,0.16,0.42,20.2,87.4,3,Ground
bamboo,food,36.0,11.0,0.11,0.65,13.66,51.7,,
plastic,home,73.0,20.0,0.66,0.26,22.75,14.4,,Ground
bagasse,home,44.0,7.0,0.18,0.07,1.93,62.2,2,Ground
metal,food,48.0,20.0,0.79,0.41,,46.2,2,Ground
bagasse,pharmaceuticals,92.0,12.0,0.53,0.46,14.26,93.6,1,Air
glass,electronics,64.0,16.0,0.56,0.26,16.68,39.2,,Ground
bamboo,electronics,64.0,7.0,0.24,0.73,20.92,40.3,2,
jute,electronics,48.0,21.0,0.27,0.07,18.28,65.1,3,Air
paper,food,49.0,22.0,0.56,0.22,19.86,52.7,2,Ground
jute,food,64.0,15.0,0.74,0.75,7.58,37.4,2,Ground
bamboo,cosmetics,61.0,8.0,0.79,0.44,9.99,99.0,3,Air
bamboo,,77.0,20.0,0.24,0.71,,30.2,3,Air
bamboo,,73.0,21.0,0.19,0.57,14.06,,3,
jute,pharmaceuticals,53.0,13.0,0.14,0.95,24.05,86.4,1,
metal,electronics,90.0,,0.71,0.6,,0.3,3,Air
bamboo,electronics,46.0,24.0,0.31,0.01,9.11,,,Ground
bagasse,,79.0,6.0,0.1,0.35,14.53,59.0,1,Ground
jute,food,94.0,13.0,0.26,0.14,21.77,,2,
bamboo,food,61.0,10.0,0.34,0.92,23.27,98.6,,
bagasse,food,65.0,7.0,0.79,0.1,8.73,46.4,2,Ground
metal,home,42.0,24.0,0.47,0.39,2.14,59.7,2,Ground
glass,pharmaceuticals,99.0,10.0,0.24,0.23,10.83,16.0,1,Ground
metal,pharmaceuticals,87.0,11.0,,0.85,10.16,28.9,2,Ground
bamboo,cosmetics,43.0,,0.33,,24.67,61.5,2,Air
jute,food,66.0,5.0,0.11,0.99,11.06,55.0,1,Air
plastic,home,97.0,9.0,0.19,0.04,7.99,78.4,2,Ground
bamboo,home,69.0,10.0,0.59,0.13,9.45,26.9,1,Ground
plastic,pharmaceuticals,88.0,17.0,0.18,0.22,10.22,65.4,3,
bagasse,food,45.0,,0.26,0.81,20.63,29.1,,Ground
glass,cosmetics,91.0,19.0,0.35,0.88,2.48,58.7,2,
paper,food,33.0,19.0,0.63,0.07,8.25,60.5,3,Air
metal,,,17.0,0.51,0.03,,12.2,2,Ground
glass,food,57.0,18.0,0.58,,4.25,,1,
bamboo,electronics,95.0,11.0,0.5,0.13,18.69,1.2,,Air
plastic,electronics,60.0,18.0,0.58,0.13,9.23,,1,Air
metal,cosmetics,32.0,14.0,0.1,0.02,14.75,,1,
plastic,pharmaceuticals,37.0,21.0,0.75,0.05,2.94,7.3,2,Ground
,food,,18.0,0.18,0.26,8.01,93.9,3,Air
plastic,electronics,44.0,12.0,0.38,0.07,12.77,45.9,2,Ground
jute,food,72.0,8.0,,0.37,,93.8,1,
bagasse,pharmaceuticals,60.0,20.0,0.4,0.83,,10.7,3,Air
,pharmaceuticals,74.0,17.0,0.76,0.33,5.88,95.0,,
metal,home,95.0,24.0,0.43,0.73,16.43,10.9,,Air
paper,pharmaceuticals,37.0,22.0,0.71,0.09,22.66,46.1,2,Air
bamboo,cosmetics,86.0,18.0,0.67,0.66,2.59,93.8,1,Air
jute,,59.0,22.0,0.79,0.32,5.81,23.3,2,Ground
paper,home,47.0,9.0,,0.75,21.19,3.5,3,Air
plastic,cosmetics,98.0,13.0,0.73,0.14,15.97,79.3,,
plastic,food,,7.0,0.61,0.9,2.43,59.6,,
paper,electronics,,12.0,0.36,0.24,12.42,51.4,1,Air
metal,pharmaceuticals,,24.0,0.17,0.35,5.64,3.4,1,Air
plastic,electronics,74.0,14.0,0.58,0.95,5.38,65.3,1,Ground
bagasse,food,52.0,23.0,0.79,0.58,,,1,Ground
bagasse,home,,7.0,0.61,0.37,19.16,,2,Air
paper,home,35.0,15.0,0.75,0.95,17.56,68.6,1,Ground
jute,home,85.0,,0.66,0.33,6.35,70.7,2,
jute,pharmaceuticals,33.0,21.0,0.21,0.09,3.41,23.3,2,Air
paper,cosmetics,52.0,20.0,0.27,1.0,21.84,88.1,1,Ground
jute,cosmetics,35.0,11.0,0.34,0.27,0.64,53.8,2,Air
metal,electronics,61.0,8.0,0.22,0.85,10.01,,1,Ground
metal,pharmaceuticals,47.0,23.0,0.51,0.17,7.3,27.1,3,Air
jute,,44.0,16.0,0.78,0.73,14.47,75.5,2,Ground
bagasse,home,,19.0,0.63,0.52,6.64,57.5,1,Ground
jute,food,35.0,15.0,0.4,0.98,8.12,4.8,2,Air
metal,food,92.0,9.0,0.1,0.55,21.33,40.5,1,Ground
glass,home,96.0,9.0,0.32,0.03,15.28,18.4,3,Ground
bamboo,home,,19.0,0.47,0.6,4.07,35.9,,Air
plastic,pharmaceuticals,72.0,22.0,0.33,,18.3,38.3,1,
glass,cosmetics,46.0,15.0,0.18,0.8,,47.5,3,Air
,food,33.0,16.0,0.41,0.86,,60.0,1,Ground
bagasse,cosmetics,92.0,6.0,,0.48,16.34,57.1,,Air
paper,,97.0,,0.74,0.78,7.16,3.9,1,Ground
jute,home,70.0,19.0,,0.15,9.91,75.1,3,Air
bagasse,cosmetics,34.0,24.0,0.13,0.49,18.49,94.9,2,Air
bamboo,home,61.0,8.0,0.1,0.39,23.48,34.9,,
jute,home,,22.0,,0.61,13.47,18.0,2,Ground
metal,electronics,64.0,10.0,0.56,0.04,,54.0,,Ground
paper,cosmetics,51.0,23.0,0.61,0.75,,70.5,3,Ground
bagasse,cosmetics,94.0,15.0,0.42,,10.27,67.9,,Ground
bagasse,home,51.0,6.0,0.58,,8.81,61.2,3,
bagasse,pharmaceuticals,40.0,12.0,0.35,0.02,11.19,,3,
bamboo,electronics,32.0,15.0,0.57,0.83,16.0,83.7,2,Ground
jute,home,38.0,9.0,0.13,0.17,3.47,42.6,,Air
bamboo,food,89.0,22.0,0.37,0.52,,22.1,1,Ground
plastic,food,43.0,22.0,0.65,0.26,12.94,8.6,2,Ground
plastic,electronics,,,,0.72,8.23,41.7,,Air
jute,pharmaceuticals,52.0,14.0,0.6,0.32,24.78,61.8,3,Ground
,home,76.0,7.0,0.24,,11.07,66.5,3,
bamboo,cosmetics,98.0,13.0,0.27,0.28,21.81,,1,Air
paper,electronics,76.0,7.0,0.8,0.75,,15.3,3,Air
bagasse,pharmaceuticals,59.0,15.0,0.17,0.03,20.98,98.6,3,Air
,,54.0,16.0,,0.28,1.65,65.5,2,Air
,food,57.0,16.0,0.19,0.5,23.72,45.4,2,Air
,food,54.0,7.0,,,3.65,88.8,3,Air
plastic,cosmetics,87.0,11.0,,0.19,1.34,69.4,2,Air
plastic,electronics,70.0,18.0,0.45,0.93,10.65,34.9,,Ground
bagasse,food,54.0,,0.43,0.98,5.27,88.4,2,Air
jute,home,77.0,,0.73,0.74,5.01,66.7,1,
bamboo,cosmetics,,14.0,0.12,0.25,,69.9,2,Air
plastic,cosmetics,40.0,15.0,,0.26,6.59,89.6,1,Air
bamboo,food,,19.0,0.52,0.65,17.28,44.8,2,
metal,electronics,74.0,23.0,0.52,0.12,5.08,65.7,1,Ground
plastic,home,36.0,20.0,0.44,0.95,13.81,74.5,,Ground
plastic,electronics,93.0,24.0,0.67,0.22,24.67,45.4,3,Ground
glass,pharmaceuticals,93.0,16.0,,1.0,11.09,8.3,1,Ground
plastic,pharmaceuticals,31.0,22.0,0.67,0.5,16.23,77.1,1,
paper,food,71.0,,0.45,0.77,24.25,4.8,2,Air
jute,food,83.0,9.0,0.19,0.0,3.87,71.8,3,Air
jute,food,,8.0,0.72,0.89,,91.1,1,
bamboo,pharmaceuticals,47.0,18.0,0.55,0.27,21.33,34.7,1,Air
metal,electronics,88.0,12.0,0.21,0.67,23.34,10.2,2,Ground
plastic,electronics,45.0,13.0,0.12,0.81,15.23,23.3,3,Air
paper,food,35.0,23.0,0.2,0.16,4.01,56.2,1,Air
bamboo,home,,7.0,0.53,,22.59,94.3,3,Ground
glass,electronics,76.0,9.0,0.23,0.49,4.77,51.2,,Air
bamboo,,,22.0,0.26,0.31,9.15,11.3,1,
bamboo,cosmetics,71.0,5.0,0.12,0.48,9.7,62.8,2,Air
plastic,cosmetics,89.0,12.0,0.61,0.32,11.46,73.3,1,
glass,cosmetics,33.0,23.0,0.67,0.36,19.86,39.3,1,Ground
bamboo,,31.0,21.0,0.66,0.67,20.15,,1,Ground
paper,food,88.0,21.0,0.19,0.63,18.13,32.5,2,Air
,pharmaceuticals,56.0,15.0,0.73,0.23,1.04,78.9,3,Ground
jute,home,56.0,6.0,0.57,0.9,14.34,34.1,2,Ground
glass,pharmaceuticals,36.0,10.0,0.73,0.86,18.81,25.6,1,Air
glass,pharmaceuticals,92.0,18.0,0.41,0.51,11.39,,1,
jute,food,,7.0,0.41,,,54.8,2,Air
bamboo,cosmetics,92.0,,0.65,,20.68,28.5,1,Air
glass,food,41.0,8.0,0.17,0.71,16.13,93.5,2,Ground
paper,home,42.0,16.0,0.46,0.67,2.03,69.1,,
paper,home,72.0,17.0,0.69,0.2,16.48,22.1,,Ground
plastic,home,46.0,,0.68,0.67,22.83,61.5,1,Ground
,food,92.0,6.0,0.77,0.25,9.8,87.0,3,Air
bamboo,pharmaceuticals,65.0,19.0,0.59,0.02,21.03,69.6,1,
jute,pharmaceuticals,37.0,,0.25,0.7,8.17,,3,Ground
jute,electronics,98.0,11.0,0.11,0.64,,,2,Ground
bamboo,home,65.0,18.0,0.44,0.41,16.39,61.9,3,Air
metal,pharmaceuticals,57.0,16.0,0.46,0.53,17.11,82.1,2,Air
bagasse,electronics,76.0,21.0,0.27,0.95,22.12,17.8,2,Ground
plastic,pharmaceuticals,59.0,18.0,0.19,0.6,6.25,70.0,1,Ground
jute,home,52.0,10.0,0.51,0.66,6.93,2.7,1,Air
glass,cosmetics,45.0,23.0,0.63,0.06,17.75,69.6,2,Ground
plastic,home,43.0,10.0,0.8,0.17,4.84,96.0,3,Ground
glass,food,81.0,22.0,0.63,0.3,11.87,17.4,2,
metal,,66.0,9.0,0.66,0.54,0.99,31.1,3,Ground
paper,pharmaceuticals,58.0,10.0,0.53,0.78,3.95,58.3,1,Air
plastic,food,96.0,6.0,0.79,0.32,17.13,73.2,2,Air
jute,food,44.0,12.0,0.55,0.36,18.81,34.4,2,
plastic,cosmetics,76.0,19.0,0.7,0.26,,66.4,1,Air
plastic,pharmaceuticals,75.0,19.0,0.76,0.25,,89.9,2,Air
plastic,pharmaceuticals,81.0,,0.75,0.95,2.92,,3,Ground
bagasse,cosmetics,48.0,5.0,0.37,0.64,11.12,71.1,2,Ground
plastic,electronics,50.0,22.0,0.16,0.16,3.59,38.2,3,Air
glass,cosmetics,93.0,16.0,0.22,0.72,11.21,91.1,3,Ground
paper,,66.0,16.0,0.14,0.72,18.44,27.7,2,Ground
metal,pharmaceuticals,56.0,15.0,0.17,0.67,17.24,20.5,,Air
bamboo,food,84.0,12.0,0.23,0.13,7.37,36.4,2,Air
plastic,home,58.0,11.0,0.34,0.41,17.01,65.0,1,Air
jute,pharmaceuticals,,6.0,0.48,,23.23,86.2,1,Air
plastic,,54.0,15.0,0.6,0.82,9.01,13.2,1,Ground
jute,home,99.0,14.0,0.25,0.66,8.56,81.4,3,Ground
glass,pharmaceuticals,92.0,7.0,0.57,0.51,14.5,81.3,3,
jute,electronics,65.0,24.0,0.59,0.34,6.51,58.7,1,Ground
bamboo,electronics,31.0,,0.49,0.18,16.46,76.1,1,Air
paper,food,51.0,22.0,0.73,0.11,20.89,18.2,2,Ground
jute,pharmaceuticals,45.0,18.0,,0.97,11.75,,3,
jute,electronics,47.0,,,0.2,17.15,86.3,,Air
,cosmetics,98.0,12.0,0.4,0.06,16.47,49.8,2,
bamboo,pharmaceuticals,83.0,14.0,0.19,,1.45,,3,Air
plastic,cosmetics,59.0,17.0,0.5,0.55,4.99,68.9,2,Air
jute,cosmetics,74.0,12.0,0.38,0.8,22.39,89.2,,Ground
,electronics,48.0,8.0,0.3,0.04,23.5,63.2,1,
glass,,63.0,8.0,0.22,0.57,19.62,34.7,,Air
paper,home,42.0,9.0,0.33,0.4,23.07,48.3,1,Air
glass,electronics,72.0,,,0.77,8.0,75.2,1,Ground
bamboo,,91.0,21.0,0.5,0.04,,6.8,3,Ground
plastic,pharmaceuticals,51.0,6.0,0.21,0.4,9.92,,3,Air
paper,,81.0,12.0,0.19,0.8,1.86,46.3,3,
metal,cosmetics,81.0,11.0,0.12,0.52,20.34,60.4,2,
metal,pharmaceuticals,,19.0,0.11,0.55,24.61,33.9,,Ground
bagasse,cosmetics,48.0,9.0,0.72,0.1,20.69,29.8,1,
jute,electronics,67.0,6.0,0.13,0.13,14.1,4.1,1,
bamboo,food,99.0,11.0,0.61,0.68,,,2,Air
,home,86.0,12.0,0.71,0.68,5.34,27.9,3,Air
metal,electronics,49.0,11.0,0.17,0.98,9.42,53.1,3,Ground
jute,pharmaceuticals,38.0,11.0,0.41,0.71,16.84,55.6,2,
metal,home,61.0,18.0,0.77,0.49,11.45,49.4,1,Ground
paper,food,,22.0,0.68,0.86,23.38,41.0,1,Air
glass,food,79.0,10.0,0.44,0.1,21.43,25.2,2,Ground
paper,cosmetics,34.0,8.0,,0.45,3.01,40.1,2,Air
bagasse,,49.0,14.0,0.68,0.29,3.72,13.9,3,
paper,,66.0,22.0,0.34,0.1,17.07,11.5,3,Air
paper,electronics,51.0,16.0,0.72,0.76,6.15,30.0,,
bagasse,home,87.0,20.0,0.43,0.51,19.88,99.5,1,Air
bamboo,electronics,97.0,11.0,0.47,0.56,,32.6,2,
paper,,73.0,10.0,0.8,0.41,6.13,93.6,2,Air
bagasse,home,63.0,9.0,0.69,0.46,12.23,39.2,3,Ground
jute,cosmetics,71.0,7.0,0.35,0.12,10.45,43.9,2,
glass,home,,16.0,0.11,0.67,21.89,79.7,,Ground
glass,cosmetics,36.0,19.0,0.54,0.43,1.29,9.4,3,Ground
paper,,97.0,14.0,0.59,0.82,22.45,18.2,1,Air
bamboo,cosmetics,48.0,24.0,0.56,0.2,16.48,97.4,1,Ground
bamboo,food,60.0,23.0,0.78,0.21,18.57,50.6,3,Ground
,cosmetics,64.0,20.0,0.7,,0.56,4.4,3,Air
paper,home,86.0,15.0,0.41,0.85,15.89,4.7,1,
glass,home,90.0,,0.14,0.47,14.92,90.7,1,
bamboo,home,60.0,7.0,,0.73,13.66,87.3,2,Air
paper,pharmaceuticals,82.0,,0.58,1.0,19.75,45.8,3,Air
metal,electronics,61.0,11.0,,0.99,,16.3,1,Air
bamboo,home,95.0,18.0,0.48,0.74,21.5,,2,Air
bagasse,food,88.0,6.0,0.43,0.74,6.2,32.5,2,
metal,home,39.0,14.0,0.31,0.25,20.25,41.9,,Ground
bamboo,,31.0,23.0,0.29,0.83,4.89,68.2,1,Air
glass,food,95.0,13.0,0.45,0.41,20.42,,3,Air
plastic,pharmaceuticals,89.0,20.0,0.21,0.96,23.54,62.9,2,Ground
metal,food,46.0,23.0,0.34,0.08,8.72,88.5,1,Air
jute,cosmetics,45.0,22.0,0.33,0.44,13.48,79.7,2,Air
,,45.0,,0.51,0.56,16.63,38.2,,Air
glass,electronics,75.0,20.0,0.15,0.41,2.45,28.8,3,
bamboo,pharmaceuticals,68.0,17.0,0.68,0.21,12.6,28.6,2,Air
paper,electronics,60.0,14.0,,0.59,9.33,34.9,1,Air
bamboo,pharmaceuticals,,24.0,0.57,0.76,21.88,49.4,1,
glass,pharmaceuticals,40.0,18.0,0.59,0.64,21.98,41.7,3,Air
jute,pharmaceuticals,33.0,16.0,0.3,0.23,17.67,13.3,1,
bamboo,electronics,55.0,23.0,0.43,0.73,16.57,16.3,2,Air
jute,pharmaceuticals,79.0,11.0,0.77,,18.48,34.3,2,Air
metal,,41.0,19.0,0.64,0.18,9.47,56.2,,Air
paper,pharmaceuticals,94.0,20.0,0.78,0.69,10.41,59.3,2,Air
metal,home,76.0,12.0,0.62,0.84,14.07,48.6,3,Air
,pharmaceuticals,82.0,14.0,0.22,0.48,23.48,73.9,1,Air
jute,,31.0,8.0,0.15,0.53,18.24,,1,Air
plastic,pharmaceuticals,53.0,23.0,0.5,0.3,14.0,,1,Air
plastic,cosmetics,33.0,23.0,0.35,0.49,19.38,12.4,2,Ground
metal,pharmaceuticals,,,0.29,0.13,9.59,53.0,3,Ground
bagasse,food,55.0,18.0,0.67,0.96,18.4,38.1,2,Ground
metal,food,69.0,5.0,0.36,0.8,10.56,13.8,2,Ground
plastic,electronics,79.0,20.0,0.32,0.67,7.35,98.2,3,
jute,home,72.0,14.0,0.69,0.54,15.44,37.0,1,Air
glass,pharmaceuticals,96.0,23.0,0.69,0.79,17.33,62.6,1,Air
metal,electronics,41.0,7.0,0.35,0.49,11.75,49.0,3,Air
jute,home,96.0,9.0,0.68,,14.35,14.3,2,Ground
glass,pharmaceuticals,56.0,,0.7,0.16,17.5,5.6,3,Ground
glass,cosmetics,83.0,22.0,0.4,0.65,19.31,62.6,2,Ground
plastic,pharmaceuticals,95.0,15.0,0.15,0.93,,,2,Air
metal,food,78.0,20.0,0.1,0.15,9.19,24.4,1,Ground
bamboo,food,45.0,6.0,0.47,,23.81,95.7,3,Air
paper,cosmetics,31.0,16.0,0.34,0.43,16.11,46.2,2,Ground
plastic,electronics,89.0,,0.8,,19.8,2.9,1,Ground
plastic,home,83.0,15.0,0.64,,17.64,34.0,3,Air
bamboo,pharmaceuticals,59.0,12.0,0.63,0.25,5.54,58.4,,Air
paper,food,67.0,16.0,0.77,0.62,2.25,32.9,3,Ground
,electronics,,,0.72,0.54,18.29,2.7,1,Ground
bagasse,cosmetics,54.0,13.0,0.32,0.06,13.02,44.4,1,Air
metal,food,39.0,19.0,0.22,0.08,17.7,10.6,1,Air
bagasse,cosmetics,,6.0,0.62,0.64,12.18,61.9,1,
jute,pharmaceuticals,71.0,5.0,,0.47,8.15,62.0,3,Air
plastic,home,69.0,14.0,0.43,0.97,7.48,3.8,3,Air
paper,food,71.0,6.0,0.54,0.68,18.4,29.1,3,Ground
plastic,food,76.0,16.0,0.74,0.01,7.28,41.4,3,Ground
glass,pharmaceuticals,66.0,12.0,0.39,0.48,18.01,55.0,1,Air
plastic,electronics,51.0,9.0,0.65,0.41,9.91,29.6,,Air
plastic,home,,,0.29,0.11,19.39,28.8,,Air
jute,food,56.0,19.0,0.59,0.92,4.0,98.3,2,Ground
jute,home,70.0,10.0,0.1,0.81,5.52,4.2,1,Air
jute,food,63.0,16.0,0.71,0.23,,98.9,3,Ground
bagasse,home,61.0,,0.12,0.26,14.23,4.8,2,
glass,cosmetics,95.0,17.0,0.6,0.03,5.5,28.8,3,
jute,food,41.0,23.0,0.13,0.3,22.62,49.4,1,
paper,home,69.0,5.0,0.29,0.58,7.26,14.3,2,Ground
bagasse,electronics,39.0,15.0,0.45,0.42,10.82,13.5,2,Ground
bamboo,cosmetics,,24.0,0.39,0.97,5.46,25.6,1,Ground
paper,cosmetics,49.0,5.0,0.23,0.06,10.01,97.4,,Ground
metal,electronics,68.0,12.0,0.33,0.59,12.55,38.0,1,Air
metal,home,89.0,9.0,0.61,0.86,7.73,56.6,2,Air
paper,pharmaceuticals,95.0,21.0,0.57,0.48,19.34,70.4,3,
jute,electronics,94.0,12.0,0.15,0.0,10.15,74.2,1,
bamboo,home,80.0,14.0,0.62,0.24,18.37,68.8,3,Ground
bamboo,electronics,65.0,6.0,0.14,0.32,5.57,33.7,1,
bagasse,electronics,53.0,13.0,,0.97,9.74,11.2,3,Ground
bamboo,food,,7.0,0.28,0.91,0.7,28.2,,Ground
metal,home,31.0,22.0,0.51,0.95,19.09,21.0,2,Air
glass,pharmaceuticals,60.0,11.0,0.28,0.83,,13.6,,Ground
jute,food,86.0,19.0,0.79,0.35,20.54,2.4,2,
bamboo,,95.0,,0.32,0.91,11.66,93.6,2,
bagasse,electronics,58.0,,0.27,0.98,20.09,92.1,3,Ground
metal,electronics,,7.0,,0.35,16.37,5.0,1,Ground
glass,home,41.0,,0.73,0.26,0.59,17.3,1,
plastic,home,57.0,6.0,0.55,0.55,6.72,14.0,2,Air
,food,53.0,18.0,0.61,,12.6,28.1,3,Air
glass,pharmaceuticals,50.0,15.0,0.74,0.03,15.66,20.4,3,Ground
metal,food,39.0,20.0,0.74,0.95,2.11,94.6,1,Air
,cosmetics,47.0,12.0,0.62,0.93,17.77,8.4,,Ground
glass,electronics,,11.0,0.24,0.16,13.82,21.2,3,Air
jute,electronics,63.0,15.0,,0.41,13.38,8.1,,Air
