product_id,product_name,product_category,product_subcategory,product_weight_g,volume_cm3,fragility_level,temperature_sensitivity,hazard_level,material_type,price_inr
P001657,Xiaomi Mi Power Bank 20000mAh,Electronics,Charger,193.0,478.0,Medium,Medium,Low,PVC Plastic,
P001658,Dove Body Lotion 250ml,Cosmetics,Haircare,386.0,696.0,Medium,Medium,Low,Glass (Soda-lime),
P001659,Exclusive tertiary core,Household Goods,Cleaning Supply,1018.0,1332.0,Low,Low,Medium,Rice Husk Composite,
P001660,Canon EOS 1500D DSLR,Electronics,Charger,254.0,372.0,Medium,Medium,Low,PET Plastic,
P001661,Implemented asynchronous complexity,Pharmaceuticals,Liquid Medicine,387.0,326.0,High,High,Medium,Seaweed Film,
P001662,Apple iPad 9th Gen,Electronics,Mobile Device,180.0,238.0,High,Medium,Low,Glass (Borosilicate),
P001663,Synergized systematic initiative,Apparel,Bottomwear,965.0,,Low,Low,Low,Recycled Paper,
P001664,Biotique Neem Face Wash,Cosmetics,Cream,144.0,185.0,High,Medium,Low,PHBV Bioplastic,
P001665,Optimized heuristic hub,Household Goods,Cleaning Supply,875.0,827.0,High,Low,Medium,PS Plastic,
P001666,Upgradable methodical superstructure,Household Goods,Cleaning Supply,1065.0,1078.0,Low,Low,Medium,Hemp Fiber,
P001667,Maggi Noodles Pack,Food,Snack,70.0,143.0,Low,Low,Low,Recycled Paper,
P001668,Profit-focused intangible migration,Apparel,Bottomwear,959.0,2765.0,Low,Low,Low,PS Plastic,
P001669,Logitech MX Master 3 Mouse,Electronics,Charger,312.0,573.0,Medium,Medium,Low,PBAT Bioplastic,
P001670,Fortune Soya Oil 1L,Food,Snack,75.0,142.0,Low,Low,Low,Coir Fiber,
P001671,Lakme 9to5 Lipstick,Cosmetics,Haircare,571.0,531.0,Medium,Medium,Low,Edible Films,
P001672,Re-contextualized full-range software,Household Goods,Cleaning Supply,996.0,1297.0,Low,Low,Medium,Glass (Soda-lime),
P001673,Lakme 9to5 Lipstick,Cosmetics,Cream,194.0,266.0,High,Medium,Low,Jute Fiber,
P001674,Canon EOS 1500D DSLR,Electronics,Audio Device,637.0,1165.0,Medium,Low,Low,Corrugated Paper,
P001675,Aashirvaad Atta 5kg,Food,Snack,73.0,94.0,Low,Low,Low,Corrugated Paper,
P001676,Reduced tertiary leverage,Household Goods,Cleaning Supply,839.0,877.0,High,Low,Medium,PET Plastic,
P001677,Maybelline Mascara,Cosmetics,Cream,191.0,193.0,High,Medium,Low,HDPE Plastic,
P001678,Aashirvaad Atta 5kg,Food,Canned Food,428.0,436.0,Medium,Medium,Low,PS Plastic,
P001679,Business-focused bi-directional benchmark,Household Goods,Cleaning Supply,697.0,1125.0,High,Low,Medium,PBAT Bioplastic,
P001680,Implemented coherent synergy,Pharmaceuticals,Liquid Medicine,376.0,260.0,High,High,Medium,Palm Fiber,
P001681,Sony WH-1000XM5 Headphones,Electronics,Charger,253.0,576.0,Medium,Medium,Low,Notpla (Seaweed-based),
P001682,Amul Butter 500g,Food,Snack,67.0,132.0,Low,Low,Low,Bamboo Pulp,
P001683,L'Oréal Paris Shampoo 175ml,Cosmetics,Cream,153.0,220.0,High,Medium,Low,Seaweed Film,
P001684,Tata Salt 1kg,Food,Dairy,969.0,958.0,Low,High,Low,HDPE Plastic,
P001685,Apple iPad 9th Gen,Electronics,Mobile Device,153.0,252.0,High,Medium,Low,Cellulose Acetate,
P001686,Mamaearth Ubtan Face Pack,Cosmetics,Haircare,451.0,400.0,Medium,Medium,Low,Paperboard,
P001687,Focused global knowledgebase,Household Goods,Cleaning Supply,871.0,996.0,High,Low,Medium,Palm Fiber,
P001688,Upgradable well-modulated artificial intelligence,Household Goods,Cleaning Supply,863.0,1312.0,Low,Low,Medium,PHBV Bioplastic,
P001689,Optional encompassing Graphic Interface,Household Goods,Cleaning Supply,1115.0,1313.0,Low,Low,Medium,Tinplate,
P001690,Persistent systemic framework,Household Goods,Cleaning Supply,770.0,720.0,High,Low,Medium,LDPE Plastic,
P001691,Stand-alone client-server help-desk,Pharmaceuticals,Liquid Medicine,388.0,365.0,High,High,Medium,Palm Fiber,
P001692,Dove Body Lotion 250ml,Cosmetics,Haircare,530.0,463.0,Medium,Medium,Low,Wheat Straw,
P001693,Dell Inspiron 15,Electronics,Charger,227.0,389.0,Medium,Medium,Low,HDPE Plastic,
P001694,Optimized leadingedge alliance,Apparel,Bottomwear,891.0,2895.0,Low,Low,Low,Mushroom Packaging,
P001695,Switchable modular info-mediaries,Pharmaceuticals,Liquid Medicine,252.0,365.0,High,High,Medium,PP Plastic,
P001696,Re-engineered dedicated extranet,Pharmaceuticals,Liquid Medicine,211.0,399.0,High,High,Medium,PHBV Bioplastic,
P001697,Open-architected client-driven help-desk,Pharmaceuticals,Liquid Medicine,216.0,275.0,High,High,Medium,Notpla (Seaweed-based),
P001698,Mandatory systemic architecture,Household Goods,Cleaning Supply,1065.0,1061.0,Low,Low,Medium,Rice Husk Composite,
P001699,Amul Butter 500g,Food,Snack,40.0,91.0,Low,Low,Low,Edible Films,
P001700,Samsung Galaxy S21,Electronics,Audio Device,756.0,1031.0,Medium,Low,Low,Stainless Steel,
P001701,Canon EOS 1500D DSLR,Electronics,Charger,273.0,533.0,Medium,Medium,Low,Cellulose Acetate,
P001702,Inverse next generation structure,Pharmaceuticals,OTC Medicine,,208.0,High,Medium,Medium,PP Plastic,
P001703,Up-sized discrete initiative,Household Goods,Cleaning Supply,,767.0,High,Low,Medium,Stainless Steel,
P001704,TP-Link Wireless Router,Electronics,Audio Device,490.0,927.0,Medium,Low,Low,LDPE Plastic,
P001705,Polarized hybrid open architecture,Household Goods,Cleaning Supply,1018.0,1108.0,Low,Low,Medium,PHA Bioplastic,
P001706,Triple-buffered didactic workforce,Household Goods,Cleaning Supply,1093.0,1243.0,Low,Low,Medium,Bamboo Pulp,
P001707,Assimilated maximized focus group,Pharmaceuticals,Liquid Medicine,388.0,359.0,High,High,Medium,PP Plastic,
P001708,Lakme 9to5 Lipstick,Cosmetics,Haircare,382.0,680.0,Medium,Medium,Low,LDPE Plastic,
P001709,Focused tertiary artificial intelligence,Pharmaceuticals,OTC Medicine,81.0,147.0,High,Medium,Medium,Wheat Straw,
P001710,Cloned intangible contingency,Household Goods,Cleaning Supply,1091.0,900.0,Low,Low,Medium,PP Plastic,
P001711,L'Oréal Paris Shampoo 175ml,Cosmetics,Haircare,449.0,407.0,Medium,Medium,Low,PBAT Bioplastic,
P001712,Tata Salt 1kg,Food,Dairy,1005.0,1153.0,Low,High,Low,Tinplate,
P001713,Re-contextualized mobile function,Pharmaceuticals,OTC Medicine,177.0,116.0,High,Medium,Medium,Glaass,
P001714,Fundamental homogeneous task-force,Household Goods,Cleaning Supply,988.0,1129.0,Low,Low,Medium,PLA Bioplastic,
P001715,L'Oréal Paris Shampoo 175ml,Cosmetics,Cream,175.0,174.0,High,Medium,Low,PVC Plastic,99999.0
P001716,Nivea Men Face Wash,Cosmetics,Cream,131.0,171.0,High,Medium,Low,Greaseproof Paper,
P001717,Mamaearth Ubtan Face Pack,Cosmetics,Cream,216.0,194.0,High,Medium,Low,Cotton Fiber,
P001718,Sunfeast Dark Fantasy Choco Fills,Food,Canned Food,369.0,326.0,Medium,Medium,Low,Glass (Soda-lime),
P001719,Kissan Mixcd Fruit Jam,Food,Canned Food,445.0,302.0,Medium,Medium,Low,EVOH Film,
P001720,Logitech MX Master 3 Mouse,Electronics,Mobile Device,162.0,177.0,High,Medium,Low,PVC Plastic,
P001721,Cross-slatform exuding collaboration,Apparel,Bottomwear,885.0,3382.0,Low,Low,Low,LDPE Plastic,
P001722,Dell Inspiron 15,Electronics,Charger,237.0,575.0,Medium,Medium,Low,Hemp Fiber,
P001723,Phased secondary instruction set,Apparel,Topwear,193.0,1316.0,Low,Low,Low,Wheat Straw,
P001724,Canon EOS 1500D DSLR,Electronics,Mobile Device,158.0,220.0,High,Medium,Low,Paperboard,
P001725,Tata Salt 1kg,Food,Snack,70.0,141.0,Low,Low,Low,Greaseproof Paper,
P001726,Fortune Soya Oil 1L,Food,Snack,60.0,108.0,Low,Low,Low,Bamboo Pulp,
P001727,Inverse mission-critical throughput,Household Goods,Cleaning Supply,653.0,928.0,High,Low,Medium,Aluminum Foil,
P001728,Maggi Noodles Pack,Food,Canned Food,446.0,436.0,Medium,Medium,Low,Stainless Steel,
P001729,Assimilated web-enabled focus group,Household Goods,Cleaning Supply,717.0,972.0,High,Low,Medium,Corrugated Paper,
P001730,Open-source multimedia task-force,Pharmaceuticals,OTC Medicine,,164.0,High,Medium,Medium,Notpla (Seaweed-based),
P001731,Business-focused zero administration synergy,Household Goods,Cleaning Supply,988.0,997.0,Low,Low,Medium,PLA Bioplastic,
P001732,Fortune Soya Oil 1L,Food,Snack,64.0,140.0,Low,Low,Low,Bamboo Pulp,
P001733,Biotique Neem Face Wash,Cosmetics,Cream,,202.0,High,Medium,Low,Coir Fiber,
P001734,Biotique Neem Face Wash,Cosmetics,Haircare,443.0,562.0,Medium,Medium,Low,Wheat Straw,
P001735,Canon EOS 1500D DSLR,Electronics,Audio Device,495.0,1046.0,Medium,Low,Low,Coconut Husk Fiber,
P001736,Pre-emptive 24/7 array,Pharmaceuticals,OTC Medicine,132.0,154.0,High,Medium,Medium,PBAT Bioplastic,
P001737,Biotique Neem Face Wash,Cosmetics,Cream,230.0,255.0,High,Medium,Low,Corrugated Paper,
P001738,Phased uniform hardware,Household Goods,Cleaning Supply,698.0,1109.0,High,Low,Medium,Edible Films,
P001739,Open-source static circuit,Pharmaceuticals,OTC Medicine,82.0,151.0,High,Medium,Medium,Jute Fiber,
P001740,Open-architected zero-defect concept,Household Goods,Cleaning Supply,1135.0,1195.0,Low,Low,Medium,Cellulose Acetate,
P001741,Canon EOS 1500D DSLR,Electronics,Mobile Device,213.0,236.0,High,Medium,Low,Palm Fiber,
P001742,Synergized high-level open system,Household Goods,Cleaning Supply,1172.0,948.0,Low,Low,Medium,PHA Bioplastic,
P001743,Fortune Soya Oil 1L,Food,Canned Food,362.0,382.0,Medium,Medium,Low,Mushroom Packaging,
P001744,Expanded multi-tasking interface,Household Goods,Cleaning Supply,861.0,1109.0,Low,Low,Medium,Coir Fiber,
P001745,Profit-focused motivating product,Pharmaceuticals,OTC Medicine,146.0,189.0,High,Medium,Medium,Coir Fiber,
P001746,Samsung valaxy S21,Electronics,Mobile Device,197.0,149.0,High,Medium,Low,Tinplate,
P001747,Organized global access,Pharmaceuticals,Liquid Medicine,389.0,436.0,High,High,Medium,PHA Bioplastic,
P001748,Dell Inspiron 15,Electronics,Charger,305.0,296.0,Medium,Medium,Low,Notpla (Seaweed-based),
P001749,Monitored exuding application,Apparel,Topwear,,1776.0,Low,Low,Low,Cotton Fiber,
P001750,Centralized motivating Graphical User Interface,Apparel,Bottomwear,944.0,2692.0,Low,Low,Low,Tinplate,
P001751,Xiaomi Mi Power Bank 20000mAh,Electronics,Charger,272.0,292.0,Medium,Medium,Low,Sugarcane Bagasse,
P001752,Enterprise-wide human-resource framework,Pharmaceuticals,Liquid Medicine,398.0,422.0,High,High,Medium,Coconut Husk Fiber,
P001753,Logitech MX Master 3 Mouse,Electronics,Mobile Device,185.0,138.0,High,Medium,Low,Glass (Borosilicate),
P001754,Synergized 4thgeneration info-mediaries,Apparel,Bottomwear,779.0,3474.0,Low,Low,Low,Newsprint,
P001755,Nivea Men Face Wash,Cosmetics,Haircare,444.0,590.0,Medium,Medium,Low,AirCarbon,
P001756,Xiaomi Mi Power Bank 20000mAh,Electronics,Audio Device,656.0,1465.0,Medium,Low,Low,Coir Fiber,
P001757,Extended multi-tasking workforce,Household Goods,Cleaning Supply,858.0,708.0,High,Low,Medium,Greaseproof Paper,
P001758,Maybelline Mascara,Cosmetics,Cream,197.0,293.0,High,Medium,Low,PET Plastic,
P001759,Maybelline Mascara,Cosmetics,Haircare,444.0,,Medium,Medium,Low,Greaseproof Paper,
P001760,Sony WH-1000XM5 Headphones,Electronics,Mobile Device,167.0,252.0,High,Medium,Low,Sugarcane Bagasse,
P001761,Mapgi Noodles Pack,Food,Snack,60.0,140.0,Low,Low,Low,PS Plastic,
P001762,Synergistic user-facing product,Apparel,Bottomwear,894.0,2988.0,Low,Low,Low,PET Plastic,
P001763,Multi-tiered national protocol,Apparel,Topwear,245.0,2156.0,Low,Low,Low,PBAT Bioplastic,
P001764,Amul Butter 500g,Food,Snack,79.0,89.0,Low,Low,Low,Notpla (Seaweed-based),
P001765,Open-source explicit methodology,Pharmaceuticals,OTC Medicine,99.0,111.0,High,Medium,Medium,PBAT Bioplastic,
P001766,Customer-focused 4thgeneration project,Household Goods,Cleaning Supply,,,Low,Low,Medium,Greaseproof Paper,
P001767,Assimilated executive secured line,Household Goods,Cleaning Supply,712.0,959.0,High,Low,Medium,Tinplate,
P001768,Proactive tangible instruction set,Household Goods,Cleaning Supply,763.0,821.0,High,Low,Medium,Paperboard,
P001769,Mandatory stable synergy,Apparel,Bottomwear,976.0,2181.0,Low,Low,Low,Coconut Husk Fiber,
P001770,Samsung Galaxy S21,Electronics,Mobile Device,216.0,138.0,High,Medium,Low,Greaseproof Paper,
P001771,Devolved tangible abijity,Apparel,Topwear,193.0,2455.0,Low,Low,Low,Sugarcane Bagasse,
P001772,Up-sized well-modulated knowledge user,Apparel,Bottomwear,888.0,2641.0,Low,Low,Low,Tinplate,
P001773,L'Oréal Paris Shampoo 175ml,Cosmetics,Cream,213.0,229.0,High,Medium,Low,Coconut Husk Fiber,
P001774,Dell Inspiron 15,Electronics,Audio Device,849.0,1203.0,Medium,Low,Low,Kraft Paper,
P001775,Biotique Neem Face Wash,Cosmetics,Haircare,490.0,416.0,Medium,Medium,Low,Cotton Fiber,
P001776,L'Oréal Paris Shampoo 175ml,Cosmetics,Cream,175.0,154.0,High,Medium,Low,Aluminum Foil,
P001777,Kissan Mixed Fruit Jam,Food,Snack,72.0,148.0,Low,Low,Low,AirCarbon,
P001778,Right-sized discrete access,Pharmaceuticals,OTC Medicine,91.0,158.0,High,Medium,Medium,Jute Fiber,
P001779,Tata Salt 1kg,Food,Snack,45.0,123.0,Low,Low,Low,Cotton Fiber,
P001780,Nestle Milkmaid,Food,Snack,44.0,147.0,Low,Low,Low,Recycled Paper,
P001781,Persevering bandwilth-monitored alliance,Household Goods,Cleaning Supply,883.0,719.0,High,Low,Medium,Recycled Paper,
P001782,Mamaearth Ubtan Face Pack,Cosmetics,Cream,125.0,237.0,High,Medium,Low,HDPE Plastic,
P001783,Self-enabling 5thgeneration rnowledgebase,Apparel,Bottomwear,942.0,2248.0,Low,Low,Low,Wheat Straw,
P001784,Dell Inspiron 15,Electronics,Audio Device,885.0,1163.0,Medium,Low,Low,Glaass,
P001785,Logitech MX Master 3 Mouse,Electronics,Audio Device,0.0,959.0,Medium,Low,Low,Cellulose Acetate,
P001786,Pond’s BB Cream,Cosmetics,Haircare,436.0,644.0,Medium,Medium,Low,AirCarbon,99999.0
P001787,Organic mission-critical frame,Apparel,Bottomwear,902.0,3005.0,Low,Low,Low,Cotton Fiber,
P001788,Tata Salt 1kg,Food,Canned Food,423.0,356.0,Medium,Medium,Low,Rice Husk Composite,
P001789,Samsung Galaxy S21,Electronics,Charger,261.0,279.0,Medium,Medium,Low,Seaweed Film,
P001790,Virtual empowering Graphical User Interface,Apparel,Topwear,248.0,1338.0,Low,Low,Low,Glass (Borosilicate),
P001791,Robust high-level interface,Apparel,Topwear,,2169.0,Low,Low,Low,Cotton Fiber,
P001792,Exclusive motivating collaboration,Pharmaceuticals,OTC Medicine,115.0,150.0,High,Medium,Medium,PP Plastic,
P001793,Enhanced 4thgeneration time-frame,Household Goods,Cleaning Supply,756.0,1065.0,High,Low,Medium,Paperboard,
P001794,Pond’s BB Cream,Cosmetics,Cream,149.0,223.0,High,Medium,Low,PBAT Bioplastic,
P001795,Vision-oriented dedicated framework,Pharmaceuticals,Liquid Medicine,296.0,321.0,High,High,Medium,Wheat Straw,
P001796,Lakme 9to5 Lipstick,Cosmetics,Haircare,587.0,483.0,Medium,Medium,Low,Rice Husk Composite,
P001797,Enhanced mobile system engine,Household Goods,Cleaning Supply,886.0,1087.0,High,Low,Medium,Bamboo Pulp,
P001798,Synchronized attitude-oriented workforce,Apparel,Bottomwear,870.0,2432.0,Low,Low,Low,PLA Bioplastic,
P001799,De-engineered multi-tasking customer loyalty,Apparel,Topwear,238.0,1332.0,Low,Low,Low,Kraft Paper,
P001800,Nivea Men Face Wash,Cosmetics,Cream,170.0,210.0,High,Medium,Low,LDPE Plastic,
P001801,Function-based grid-enabled ability,Apparel,Topwear,229.0,1252.0,Low,Low,Low,LDPE Plastic,
P001802,Operative motivating matrices,Household Goods,Cleaning Supply,748.0,997.0,High,Low,Medium,Recycled Paper,
P001803,Biotique Neem Face Wash,Cosmetics,Haircare,522.0,594.0,Medium,Medium,Low,Sugarcane Bagasse,
P001804,Distributed empowering website,Apparel,Bottomwear,935.0,3338.0,Low,Low,Low,Glass (Soda-lime),
P001805,Fortune Soya Oil 1L,Food,Dairy,945.0,1109.0,Low,High,Low,Glass (Soda-lime),
P001806,Logitech MX Master 3 Mouse,Electronics,Mobile Device,191.0,241.0,High,Medium,Low,PP Plastic,
P001807,Extended bottom-line project,Apparel,Topwear,276.0,1534.0,Low,Low,Low,Glass (Borosilicate),
P001808,Apple iPad 9th Gen,Electronics,Audio Device,434.0,990.0,Medium,Low,Low,Cellulose Acetate,
P001809,Synchronized optimizing hardware,Apparel,Topwear,271.0,2061.0,Low,Low,Low,Corrugated Paper,99999.0
P001810,Logitech MX Master 3 Mouse,Electronics,Charger,245.0,358.0,Medium,Medium,Low,HDPE Plastic,
P001811,Amul Butter 500g,Food,Dairy,1068.0,1031.0,Low,High,Low,EVOH Film,
P001812,Operative incremental application,Apparel,Topwear,235.0,1375.0,Low,Low,Low,Rice Husk Composite,
P001813,Xiaomi Mi Power Bank 20000mAh,Electronics,Mobile Device,184.0,282.0,High,Medium,Low,LDPE Plastic,
P001814,Kissan Mixed Fruit Jam,Food,Dairy,933.0,1099.0,Low,High,Low,Palm Fiber,
P001815,Tata Salt 1kg,Food,Dairy,910.0,1187.0,Low,High,Low,Coir Fiber,
P001816,Samsung Galaxy S21,Electronics,Mobile Device,218.0,195.0,High,Medium,Low,Cellulose Acetate,
P001817,Sharable intermediate encoding,Household Goods,Cleaning Supply,870.0,,Low,Low,Medium,HDPE Plastic,99999.0
P001818,Mamaearth Ubtan Face Pack,Cosmetics,Cream,125.0,215.0,High,Medium,Low,Sugarcane Bagasse,
P001819,Cloned dynamic secured line,Pharmaceuticals,OTC Medicine,159.0,239.0,High,Medium,Medium,HDPE Plastic,
P001820,Re-contextualized needs-based archive,Pharmaceuticals,Liquid Medicine,332.0,437.0,High,High,Medium,Hemp Fiber,
P001821,Canon EOS m500D DSLR,Electronics,Mobile Device,175.0,198.0,High,Medium,Low,Greaseproof Paper,
P001822,Aashirvaad Atta 5kg,Food,Canned Food,380.0,369.0,Medium,Medium,Low,PBAT Bioplastic,
P001823,Business-focused secondary framework,Household Goods,Cleaning Supply,980.0,1155.0,Low,Low,Medium,Greaseproof Paper,
P001824,Open-source system-worthy project,Household Goods,Cleaning Supply,808.0,921.0,High,Low,Medium,Coir Fiber,
P001825,Maggi Noodles Pack,Food,Dairy,944.0,1097.0,Low,High,Low,Recycled Paper,
P001826,Sunfeast Dark Fantasy Choco Fills,Food,Dairy,1023.0,1112.0,Low,High,Low,EVOH Film,
P001827,Digitized bi-directional conglomeration,Apparel,Bottomwear,748.0,3062.0,Low,Low,Low,Coconut Husk Fiber,
P001828,Multi-lateral local contingency,Household Goods,Cleaning Supply,,1170.0,Low,Low,Medium,PBAT Bioplastic,
P001829,Polarized upward-trending hardware,Household Goods,Cleaning Supply,1062.0,1242.0,Low,Low,Medium,Rice Husk Composite,
P001830,Adaptive human-resource core,Pharmaceuticals,OTC Medicine,120.0,118.0,High,Medium,Medium,PS Plastic,
P001831,Multi-tiered background synergy,Household Goods,Cleaning Supply,943.0,1267.0,Low,Low,Medium,Hemp Fiber,
P001832,Nestle Milkmaid,Food,Canned Food,385.0,309.0,Medium,Medium,Low,Coir Fiber,
P001833,Nivea Men Face Wash,Cosmetics,Cream,169.0,195.0,High,Medium,Low,Recycled Paper,
P001834,Exclusive 4thgeneration matrices,Household Goods,Cleaning Supply,615.0,1135.0,High,Low,Medium,Glass (Soda-lime),
P001835,Front-line 4thgeneration functionalities,Apparel,Bottomwear,878.0,2284.0,Low,Low,Low,PHA Bioplastic,
P001836,Inverse systematic functionalities,Household Goods,Cleaning Supply,964.0,914.0,Low,Low,Medium,Mushroom Packaging,
P001837,Pond’s BB Cream,Cosmetics,Haircare,439.0,614.0,Medium,Medium,Low,Palm Fiber,
P001838,Enhanced exuding encryption,Household Goods,Cleaning Supply,765.0,1109.0,High,Low,Medium,Greaseproof Paper,
P001839,Upgradable demand-driven concept,Pharmaceuticals,Liquid Medicine,202.0,272.0,High,High,Medium,PLA Bioplastic,
P001840,Logitech MX Master 3 Mouse,Electronics,Mobile Device,192.0,223.0,High,Medium,Low,AirCarbon,
P001841,Aashirvaad Atta 5kg,Food,Dairy,926.0,1031.0,Low,High,Low,Palm Fiber,
P001842,Tata Salt 1kg,Food,Canned Food,,391.0,Medium,Medium,Low,PS Plastic,
P001843,Dove Body Lotion 250ml,Cosmetics,Haircare,537.0,699.0,Medium,Medium,Low,PP Plastic,
P001844,Lakme 9to5 Lipstick,Cosmetics,Haircare,424.0,,Medium,Medium,Low,Hemp Fiber,
P001845,Multi-channeled 3rdgeneration structure,Household Goods,Cleaning Supply,809.0,1135.0,High,Low,Medium,Bamboo Pulp,
P001846,Pre-emptive systemic intranet,Household Goods,Cleaning Supply,1194.0,908.0,Low,Low,Medium,PVC Plastic,
P001847,Exclusive explicit flexibility,Pharmaceuticals,OTC Medicine,132.0,190.0,High,Medium,Medium,Kraft Paper,
P001848,Dell Inspiron 15,Electronics,Charger,345.0,271.0,Medium,Medium,Low,Coconut Husk Fiber,
P001849,Nestle Milkmaid,Food,Snack,65.0,113.0,Low,Low,Low,Cellulose Acetate,
P001850,L'Oréal Paris Shampoo 175ml,Cosmetics,Cream,233.0,202.0,High,Medium,Low,Metel,
P001851,Dell Inspiron 15,Electronics,Charger,184.0,380.0,Medium,Medium,Low,PLA Bioplastic,
P001852,Open-architected fresh-thinking architecture,Apparel,Topwear,264.0,1215.0,Low,Low,Low,Newsprint,
P001853,Fortune Soya Oil 1L,Food,Dairy,1066.0,1132.0,Low,High,Low,PBAT Bioplastic,
P001854,Triple-buffered executive algorithm,Apparel,Bottomwear,719.0,2504.0,Low,Low,Low,PP Plastic,
P001855,Amul Butter 500g,Food,Snack,51.0,120.0,Low,Low,Low,EVOH Film,
P001856,Sony WH-1000XM5 Headphones,Electronics,Audio Device,685.0,1381.0,Medium,Low,Low,Coconut Husk Fiber,
P001857,Synergized asynchronous product,Apparel,Bottomwear,717.0,2568.0,Low,Low,Low,EVOH Film,
P001858,Sunfeast Dark Fantasy Choco Fills,Food,Dairy,947.0,917.0,Low,High,Low,Seaweed Film,
P001859,Dove Body Lotion 250ml,Cosmetics,Cream,125.0,286.0,High,Medium,Low,Bamboo Pulp,
P001860,Tata Salt 1kg,Food,Canned Food,439.0,372.0,Medium,Medium,Low,PP Plastic,
P001861,Xiaomi Mi Power Bank 20000mAh,Electronics,Mobile Device,169.0,167.0,High,Medium,Low,Glass (Soda-lime),
P001862,Profit-focused discrete intranet,Apparel,Topwear,211.0,1218.0,Low,Low,Low,Edible Films,
P001863,L'Oréal Paris Shampoo 175ml,Cosmetics,Haircare,392.0,532.0,Medium,Medium,Low,LDPE Plastic,
P001864,Amul Butter 500g,Food,Dairy,1100.0,1077.0,Low,High,Low,Bamboo Pulp,
P001865,Amul Butter 500g,Food,Snack,68.0,107.0,Low,Low,Low,Aluminum Foil,
P001866,Organic incremental circuit,Household Goods,Cleaning Supply,896.0,1089.0,Low,Low,Medium,Palm Fiber,
P001867,Future-proofed bi-directional data-warehouse,Apparel,Bottomwear,824.0,2520.0,Low,Low,Low,Stainless Steel,
P001868,Amul Butter 500g,Food,Snack,59.0,97.0,Low,Low,Low,Glass (Soda-lime),
P001869,Managed tangible time-frame,Apparel,Topwear,182.0,2003.0,Low,Low,Low,Seaweed Film,
P001870,Reactive 6thgeneration framework,Apparel,Topwear,200.0,1438.0,Low,Low,Low,PS Plastic,
P001871,Fortune Soya Oil 1L,Food,Snack,55.0,119.0,Low,Low,Low,Hemp Fiber,
P001872,Fortune Soya Oil 1L,Food,Canned Food,449.0,409.0,Medium,Medium,Low,PBAT Bioplastic,
P001873,Canon EOS 1500D DSLR,Electronics,Mobile Device,184.0,279.0,High,Medium,Low,Mushroom Packaging,
P001874,Object-based system-worthy benchmark,Apparel,Topwear,197.0,1850.0,Low,Low,Low,Greaseproof Paper,
P001875,Kissan Mixed Fruit Jam,Food,Snack,61.0,90.0,Low,Low,Low,Bamboo Pulp,
P001876,Samsung Galaxy S21,Electronics,Mobile Device,152.0,166.0,High,Medium,Low,LDPE Plastic,
P001877,Public-key reciprocalhinfo-mediaries,Pharmaceuticals,OTC Medicine,99.0,173.0,High,Medium,Medium,Palm Fiber,
P001878,Implemented composite leverage,Household Goods,Cleaning Supply,750.0,899.0,High,Low,Medium,Glass (Soda-lime),
P001879,Nestle Milkmaid,Food,Snack,78.0,145.0,Low,Low,Low,Glass (Borosilicate),
P001880,Aasyirvaad Atta 5kg,Food,Dairy,938.0,944.0,Low,High,Low,Jute Fiber,
P001881,Persevering 3rdgeneration customer loyalty,Apparel,Bottomwear,886.0,2358.0,Low,Low,Low,Paperboard,
P001882,Organized even-keeled analyzer,Apparel,Bottomwear,875.0,2395.0,Low,Low,Low,Tinplate,
P001883,Future-proofed cohesive concept,Pharmaceuticals,Liquid Medicine,300.0,399.0,High,High,Medium,Wheat Straw,
P001884,Diverse holistic website,Household Goods,Cleaning Supply,771.0,1171.0,High,Low,Medium,Wheat Straw,
P001885,Networked content-based encoding,Pharmaceuticals,Liquid Medicine,239.0,250.0,High,High,Medium,Glass (Borosilicate),
P001886,Managed bi-directional conglomeration,Household Goods,Cleaning Supply,777.0,1196.0,High,Low,Medium,PHA Bioplastic,
P001887,TP-Link Wireless Router,Electronics,Mobile Device,168.0,235.0,High,Medium,Low,Cellulose Acetate,
P001888,Dove Body Lotion 250ml,Cosmetics,Cream,229.0,210.0,High,Medium,Low,Greaseproof Paper,
P001889,Stand-alone empowering process improvement,Apparel,Topwear,224.0,1447.0,Low,Low,Low,PET Plastic,
P001890,Canon EOS 1500D DSLR,Electronics,Mobile Device,154.0,127.0,High,Medium,Low,Rice Husk Composite,
P001891,Streamlined actuating utilization,Household Goods,Cleaning Supply,683.0,800.0,High,Low,Medium,PHA Bioplastic,
P001892,Amul Butter 500g,Food,Dairy,965.0,982.0,Low,High,Low,Cellulose Acetate,
P001893,Sunfeast Dark Fantasy Choco Fills,Food,Dairy,1005.0,1073.0,Low,High,Low,Paperboard,
P001894,Kissan Mixed Fruit Jam,Food,Snack,64.0,,Low,Low,Low,Corrugated Paper,
P001895,Logitech MX Master 3 Mouse,Electronics,Mobile Device,191.0,203.0,High,Medium,Low,Palm Fiber,
P001896,Sony WH-1000XM5 Headphones,Electronics,Audio Device,698.0,1147.0,Medium,Low,Low,AirCarbon,
P001897,Aashirvaad Atta 5kg,Food,Snack,54.0,150.0,Low,Low,Low,Recycled Paper,
P001898,Re-engineered solution-oriented solution,Apparel,Bottomwear,722.0,2359.0,Low,Low,Low,PVC Plastic,
P001899,Samsung Galaxy S21,Electronics,Charger,302.0,258.0,Medium,Medium,Low,PVC Plastic,
