material_type,product_category,strength,weight_capacity,cost_per_unit,biodegradability_score,co2_emission_score,recyclability_percentage,fragility_level,shipping_type,co2_impact_index,cost_efficiency_index,material_suitability_score
paper,cosmetics,49.0,7.8,0.22,0.96,0.95,87.6,2.0,ground,0.01440922190201729,0.3606392275957677,0.4430349095055788
paper,pharmaceuticals,42.0,6.6,0.15,1.0,1.35,91.6,2.0,ground,0.030876904075751343,0.5193463680599888,0.41612595952858117
bamboo,food,61.0,8.3,0.32,0.83,1.25,65.1,1.0,ground,0.02675998353231783,0.26028241211726577,0.4210176718564231
jute,electronics,48.0,7.8,0.23,0.93,1.66,70.0,3.0,air,0.04363935776039523,0.32308753784708477,0.3927650394514012
metal,pharmaceuticals,78.0,13.3,0.38,0.0,19.98,91.4,2.0,ground,0.7978592013174146,0.3174326853862959,0.36916615685741994
bagasse,pharmaceuticals,32.0,4.8,0.27,0.96,0.86,78.4,2.0,ground,0.010703993412927132,0.06673432333471378,0.3063193337914072
glass,home,80.0,12.8,0.57,0.02,9.73,91.7,1.0,ground,0.3758748456154797,0.13066101484552173,0.40395103147760747
jute,pharmaceuticals,44.0,6.7,0.21,0.87,1.68,78.5,2.0,ground,0.04446274186908193,0.32024163729795135,0.367410856326872
plastic,food,66.0,9.3,0.32,0.14,14.1,40.7,1.0,ground,0.5557842733635241,0.30549475468613874,0.21509316154687333
jute,pharmaceuticals,35.0,5.6,0.29,0.95,0.98,67.9,2.0,ground,0.015644298065047347,0.07566523749483718,0.304574388777966
plastic,cosmetics,70.0,10.4,0.4,0.21,7.16,28.9,2.0,ground,0.2700699876492384,0.22275647070703922,0.25972521957662953
metal,cosmetics,96.0,14.8,0.79,0.0,1.48,89.0,2.0,ground,0.036228900782214905,0.07627643740248476,0.5087682129778431
bamboo,cosmetics,44.0,6.8,0.29,0.83,1.02,79.3,2.0,ground,0.01729106628242075,0.1604773285512446,0.3592453739440646
paper,food,53.0,7.4,0.15,0.88,1.46,92.4,1.0,ground,0.0354055166735282,0.7090365912870631,0.4519583476844877
bagasse,cosmetics,33.0,5.0,0.15,1.0,0.84,78.7,2.0,ground,0.009880609304240428,0.34894667600854906,0.33089386227183165
paper,cosmetics,39.0,6.5,0.19,0.91,1.08,86.9,2.0,ground,0.01976121860848086,0.31552748727010427,0.3722174560584332
metal,cosmetics,52.0,15.5,0.54,0.0,1.48,90.3,2.0,ground,0.036228900782214905,0.03949585631862729,0.3479842489809636
metal,cosmetics,79.0,13.4,0.52,0.0,18.84,94.3,2.0,ground,0.7509263071222725,0.1665542630911561,0.3752397807934579
paper,food,50.0,9.1,0.12,0.92,1.48,79.3,1.0,ground,0.036228900782214905,0.9256512016744124,0.4450196280969054
bagasse,pharmaceuticals,34.0,6.7,0.22,0.96,1.48,83.7,2.0,ground,0.036228900782214905,0.18417433513804524,0.35273497116263214
paper,cosmetics,52.0,7.4,0.15,0.98,0.93,89.0,2.0,ground,0.013585837793330592,0.6929611486407008,0.4627869949800565
metal,home,88.0,12.0,0.38,0.0,17.6,96.4,1.0,ground,0.699876492383697,0.3726393624999187,0.4151773188549871
bamboo,home,43.0,6.2,0.2,0.86,0.94,69.6,1.0,ground,0.01399752984767394,0.33126467773233015,0.33975017671503444
glass,food,88.0,16.2,0.37,0.01,15.57,88.5,1.0,ground,0.6163030053519968,0.4171613812366211,0.46674924590508843
bamboo,pharmaceuticals,52.0,11.0,0.26,0.77,0.71,74.2,2.0,ground,0.004528612597776862,0.32236201498082373,0.4317586253596374
plastic,home,69.0,11.7,0.21,0.13,9.42,28.9,1.0,ground,0.3631123919308358,0.6647160644288196,0.26161130886437495
bamboo,cosmetics,62.0,11.0,0.23,0.84,1.06,65.9,2.0,ground,0.018937834499794158,0.5034124865439518,0.4729001980402936
bagasse,home,39.0,6.5,0.27,1.0,0.86,78.7,1.0,ground,0.010703993412927132,0.14443252634082768,0.3683452212412076
glass,food,71.0,10.0,0.35,0.0,16.4,89.3,1.0,ground,0.6504734458624948,0.29612949034541447,0.3067543144756398
jute,electronics,59.0,10.8,0.27,0.97,1.59,64.3,3.0,air,0.04075751337999177,0.3614516450820421,0.47473416942141
glass,cosmetics,74.0,10.9,0.46,0.0,14.22,89.5,2.0,ground,0.5607245780156443,0.1831269899236738,0.3332586943013267
paper,pharmaceuticals,46.0,8.8,0.17,0.87,1.11,85.4,2.0,ground,0.020996294771510916,0.5153753977515623,0.4239897410265417
plastic,cosmetics,77.0,14.9,0.26,0.05,8.19,78.7,2.0,ground,0.31247426924660354,0.5903898627670738,0.4276343925933484
bamboo,pharmaceuticals,62.0,8.6,0.28,0.84,1.23,84.9,2.0,ground,0.025936599423631124,0.346077943136567,0.4752397701755939
bamboo,electronics,40.0,6.0,0.27,0.86,0.92,67.7,3.0,air,0.013174145738987241,0.14889794030669626,0.31502444017396625
glass,cosmetics,73.0,12.3,0.5,0.02,12.18,93.1,2.0,ground,0.47673939892960066,0.149452352492715,0.3647047109888877
paper,cosmetics,32.0,6.0,0.2,0.86,1.18,78.7,2.0,ground,0.023878139151914366,0.1962307344478155,0.306983326125386
paper,pharmaceuticals,52.0,7.9,0.25,0.9,1.24,95.0,2.0,ground,0.026348291477974475,0.3158328048213034,0.45727720255451554
jute,electronics,53.0,9.0,0.23,0.88,1.6,67.6,3.0,air,0.04116920543433512,0.38808839144711826,0.41602234638995106
paper,cosmetics,32.0,5.2,0.2,0.94,1.48,80.8,2.0,ground,0.036228900782214905,0.18658545278463592,0.3152643622284682
plastic,home,50.0,7.4,0.34,0.12,6.12,54.0,1.0,ground,0.22725401399752987,0.14516831670303543,0.17463855233504474
plastic,home,52.0,8.4,0.36,0.21,9.9,39.8,1.0,ground,0.3828736105393166,0.14264673535205566,0.16855692837475675
plastic,home,49.0,8.4,0.35,0.1,17.45,38.1,1.0,ground,0.6937011115685466,0.1335372510416159,0.09966324687586402
plastic,electronics,67.0,10.8,0.26,0.11,12.39,33.2,3.0,air,0.48538493207081107,0.45962195087136004,0.2297096600359571
bagasse,food,38.0,6.4,0.14,0.93,0.87,89.4,1.0,ground,0.011115685467270483,0.5028112628969164,0.3802104014235805
bagasse,cosmetics,49.0,9.6,0.17,0.92,0.64,87.4,2.0,ground,0.0016467682173734062,0.5692754536048134,0.463899861874515
paper,food,38.0,5.5,0.18,0.87,1.02,94.4,1.0,ground,0.01729106628242075,0.3208152988569246,0.3627917225115129
paper,cosmetics,42.0,6.1,0.19,0.92,1.19,87.8,2.0,ground,0.024289831206257717,0.34852449480286546,0.3832570632585153
bagasse,home,34.0,4.7,0.25,0.94,0.61,85.2,1.0,ground,0.00041169205434335156,0.11135262908274227,0.32617444199611034
paper,food,33.0,5.5,0.13,0.95,1.02,77.3,1.0,ground,0.01729106628242075,0.4521997482728684,0.3254955461814491
plastic,cosmetics,45.0,6.1,0.19,0.11,9.91,78.7,2.0,ground,0.38328530259365995,0.3865979650329745,0.17965099438064458
paper,cosmetics,41.0,7.9,0.16,0.99,1.48,89.3,2.0,ground,0.036228900782214905,0.475038736330106,0.4213361962318879
jute,home,38.0,5.5,0.29,0.95,1.61,78.7,1.0,ground,0.04158089748867848,0.09977847906969815,0.3359256029978684
bamboo,electronics,63.0,11.3,0.26,0.84,0.74,68.9,3.0,air,0.005763688760806917,0.4271618308972468,0.48659492908358043
plastic,home,52.0,8.7,0.31,0.24,16.12,54.4,1.0,ground,0.6389460683408811,0.21023278745183174,0.18676262481930722
jute,electronics,35.0,5.6,0.26,0.9,1.59,68.1,3.0,air,0.04075751337999177,0.11461724714649847,0.2946810375115006
jute,home,44.0,8.0,0.22,0.86,1.48,70.2,1.0,ground,0.036228900782214905,0.308028576428248,0.3659648655338309
bagasse,pharmaceuticals,34.0,4.7,0.24,0.92,0.72,88.6,2.0,ground,0.004940304652120214,0.1269055965135429,0.3294623693594742
jute,home,49.0,8.4,0.28,0.97,0.96,72.6,1.0,ground,0.014820913956360642,0.23240124685462457,0.4177834902957768
paper,food,35.0,6.4,0.21,0.98,1.05,94.0,1.0,ground,0.018526142445450807,0.21345456488738213,0.38075684061938553
plastic,pharmaceuticals,49.0,9.8,0.41,0.22,7.04,40.0,2.0,ground,0.2651296829971182,0.08389937631854415,0.18494237911087855
plastic,home,49.0,9.7,0.35,0.24,11.43,28.1,1.0,ground,0.4458624948538493,0.1424936032066557,0.14941028051050564
bamboo,pharmaceuticals,56.0,9.1,0.23,0.89,1.04,74.8,2.0,ground,0.018114450391107456,0.42058881824713484,0.4495578163416596
plastic,food,45.0,6.3,0.41,0.13,11.46,36.0,1.0,ground,0.4470975710168794,0.03978974355428903,0.0758152304220208
paper,home,32.0,8.4,0.14,0.86,1.48,75.6,1.0,ground,0.036228900782214905,0.4339165415050125,0.33620508446330805
plastic,pharmaceuticals,77.0,12.4,0.39,0.06,12.98,28.1,2.0,ground,0.5096747632770688,0.2908300356573224,0.2623134941188646
bagasse,food,46.0,6.3,0.2,0.99,0.61,83.3,1.0,ground,0.00041169205434335156,0.3686401441771511,0.40973161208461045
bagasse,food,38.0,6.2,0.26,0.84,1.19,79.0,1.0,ground,0.024289831206257717,0.14800479911987222,0.3279381833066429
bamboo,home,52.0,10.5,0.33,0.78,0.89,81.6,1.0,ground,0.011939069575957187,0.1947702276723572,0.4363610168287859
bamboo,cosmetics,51.0,8.4,0.31,0.78,0.99,70.5,2.0,ground,0.016055990119390698,0.200120780670834,0.38182282942352264
bamboo,home,56.0,7.7,0.27,0.79,0.7,79.1,1.0,ground,0.004116920543433511,0.30697359469844515,0.41795736404680994
bamboo,pharmaceuticals,45.0,8.6,0.27,0.83,1.06,79.2,2.0,ground,0.018937834499794158,0.21677223258789916,0.3890173918128582
plastic,home,49.0,7.3,0.36,0.13,11.68,39.5,1.0,ground,0.4561547962124331,0.11518441403398262,0.11670233481357878
paper,home,52.0,5.0,0.21,0.99,1.14,92.4,1.0,ground,0.022231370934540962,0.3925812669954336,0.43408373903311515
paper,food,54.0,10.2,0.16,0.88,1.08,84.8,1.0,ground,0.01976121860848086,0.7056209628641517,0.4793138066387991
plastic,home,52.0,7.2,0.25,0.2,9.25,47.0,1.0,ground,0.3561136270069988,0.3090811009054075,0.17594011064105478
metal,home,52.0,13.3,0.4,0.0,19.32,89.1,1.0,ground,0.7706875257307534,0.13172889744298627,0.2526302469309114
plastic,home,59.0,11.1,0.44,0.18,11.85,27.1,2.0,ground,0.4631535611362701,0.12224808759859372,0.18940026705148458
paper,home,41.0,5.7,0.24,0.84,1.64,94.8,1.0,ground,0.04281597365170853,0.20728301068754992,0.3663978238564498
plastic,electronics,54.0,9.0,0.34,0.09,8.95,52.2,3.0,air,0.3437628653766982,0.18488426414266979,0.1922918019577844
plastic,food,46.0,6.9,0.3,0.22,17.77,44.3,1.0,ground,0.7068752573075339,0.1632767307565341,0.10548327963378601
glass,electronics,84.0,12.3,0.51,0.02,10.81,93.0,3.0,air,0.4203375874845616,0.19339527069465473,0.4172296410162224
glass,electronics,90.0,17.2,0.52,0.03,19.32,92.8,3.0,air,0.7706875257307534,0.23518436301687798,0.47535043789982356
plastic,cosmetics,56.0,8.3,0.19,0.1,13.87,31.1,2.0,ground,0.546315356113627,0.5541212340454542,0.1408268826379763
plastic,electronics,49.0,8.7,0.32,0.09,13.68,31.7,3.0,air,0.5384932070811034,0.17287188315077825,0.10625716054479033
bamboo,cosmetics,52.0,9.0,0.3,0.78,0.9,69.3,2.0,ground,0.012350761630300537,0.22838249049205356,0.3929120531126159
paper,cosmetics,32.0,5.1,0.18,0.98,1.18,94.7,2.0,ground,0.023878139151914366,0.23507950948163953,0.35325878516555087
jute,electronics,40.0,5.8,0.27,0.99,1.26,64.8,3.0,air,0.02717167558666118,0.1471117747203488,0.3309467097612214
glass,cosmetics,82.0,13.1,0.35,0.02,19.7,90.5,2.0,ground,0.7863318237958007,0.3932714638277686,0.3893589830032503
plastic,pharmaceuticals,45.0,8.4,0.34,0.22,17.99,42.9,2.0,ground,0.7159324825030876,0.11679978281758241,0.11467420944234075
jute,cosmetics,41.0,5.8,0.21,0.93,1.13,69.3,2.0,ground,0.021819678880197608,0.2754599617709384,0.3375134782466847
bamboo,pharmaceuticals,52.0,7.6,0.32,0.85,1.48,78.7,2.0,ground,0.036228900782214905,0.18718912496425466,0.40350286391134327
jute,pharmaceuticals,58.0,9.0,0.22,0.88,1.16,78.2,2.0,ground,0.023054755043227664,0.4724368613267473,0.4621488753221509
bamboo,home,54.0,9.9,0.26,0.82,1.39,77.0,1.0,ground,0.03252367229312474,0.3307089029741672,0.43855913746838143
plastic,home,54.0,10.1,0.43,0.11,6.48,35.9,1.0,ground,0.24207492795389052,0.09753579038797375,0.18112264867094163
metal,electronics,76.0,11.5,0.8,0.0,13.54,91.8,3.0,air,0.5327295183202965,0.0018190149412544597,0.33260097154189366
plastic,food,55.0,9.8,0.25,0.24,13.05,27.4,1.0,ground,0.5125566076574722,0.36309473223257466,0.17608981058739676
bamboo,electronics,43.0,6.9,0.27,0.8,0.73,77.5,3.0,air,0.005351996706463566,0.18372816924047142,0.349204603192558
paper,food,42.0,7.5,0.17,0.94,1.27,89.3,1.0,ground,0.02758336764100453,0.44019900406150153,0.41040787610991286
plastic,home,66.0,12.5,0.2,0.16,15.75,28.3,1.0,ground,0.6237134623301771,0.6845231186462835,0.23881756475576535
glass,cosmetics,76.0,15.0,0.44,0.02,18.98,78.7,2.0,ground,0.7566899958830794,0.23678611972374103,0.3609810510764486
jute,food,39.0,6.1,0.15,0.86,1.68,65.4,1.0,ground,0.04446274186908193,0.463082318797721,0.31298362424810533
metal,food,83.0,12.3,0.54,0.0,16.85,91.3,1.0,ground,0.6689995883079457,0.16363459445547532,0.37830698524123896
jute,home,45.0,7.3,0.18,0.93,0.95,75.2,1.0,ground,0.01440922190201729,0.43870200924794145,0.39027857432213364
bamboo,pharmaceuticals,48.0,6.9,0.3,0.75,0.84,66.4,2.0,ground,0.009880609304240428,0.1793522269875266,0.33541411089374273
plastic,food,79.0,8.4,0.28,0.13,7.13,40.1,1.0,ground,0.26883491148620836,0.49075737476813014,0.28785258743720205
bagasse,food,33.0,4.7,0.16,0.96,1.07,88.7,1.0,ground,0.01934952655413751,0.3062465182136806,0.3377620179795364
plastic,pharmaceuticals,78.0,11.8,0.39,0.22,14.64,48.7,2.0,ground,0.5780156442980651,0.29330319082604966,0.3261641789406683
bagasse,home,35.0,6.4,0.27,0.96,0.65,84.4,1.0,ground,0.002058460271716758,0.10781613182070499,0.3542116243506568
bamboo,cosmetics,46.0,6.3,0.29,0.83,0.95,75.4,2.0,ground,0.01440922190201729,0.17294969488306927,0.3534367395135469
plastic,home,53.0,7.6,0.38,0.21,13.93,29.9,1.0,ground,0.5487855084396871,0.12262291672098356,0.1236338139772196
bagasse,pharmaceuticals,49.0,9.7,0.25,0.91,0.62,87.7,2.0,ground,0.0008233841086867031,0.3042584552511962,0.4580693305636903
bagasse,cosmetics,52.0,6.7,0.27,0.96,0.86,87.3,2.0,ground,0.010703993412927132,0.262319455039759,0.43728944329412534
bamboo,home,60.0,8.2,0.21,0.75,1.48,82.5,1.0,ground,0.036228900782214905,0.5211850531242912,0.4423114863388915
glass,cosmetics,67.0,12.5,0.41,0.03,15.98,93.4,2.0,ground,0.6331823795800742,0.20564196274788837,0.3349119380317594
paper,pharmaceuticals,30.0,5.3,0.14,0.92,1.3,80.0,2.0,ground,0.028818443804034585,0.34607577173033516,0.3074245201612552
jute,pharmaceuticals,38.0,5.1,0.18,0.99,1.4,73.5,2.0,ground,0.03293536434746809,0.3154568120209693,0.33675870048641593
bagasse,cosmetics,44.0,7.8,0.13,0.95,1.04,77.3,2.0,ground,0.018114450391107456,0.6988957112491521,0.4043203758081832
plastic,food,58.0,8.4,0.19,0.16,12.11,31.4,1.0,ground,0.4738575545491972,0.5807726632065306,0.1707377981878155
bamboo,home,51.0,8.0,0.27,0.75,1.38,80.5,1.0,ground,0.03211198023878139,0.26499870341928017,0.39235739708116196
plastic,pharmaceuticals,71.0,11.0,0.42,0.17,15.42,78.7,2.0,ground,0.6101276245368464,0.20886269343181862,0.33131469195752944
plastic,pharmaceuticals,56.0,8.3,0.36,0.17,7.87,27.9,2.0,ground,0.2993001235076163,0.16876943123997884,0.16043499930517074
paper,cosmetics,35.0,5.3,0.19,0.99,1.27,90.3,2.0,ground,0.02758336764100453,0.2495334722045819,0.36083321509663296
plastic,electronics,51.0,8.4,0.29,0.84,10.93,41.7,3.0,air,0.42527789213668177,0.23198556218703917,0.2950305681164283
paper,electronics,48.0,8.7,0.14,0.86,1.72,80.3,3.0,air,0.046109510086455335,0.7146625311770208,0.41852036091230826
glass,cosmetics,89.0,12.1,0.49,0.01,10.81,91.4,2.0,ground,0.4203375874845616,0.23560070328043103,0.43243995368689314
plastic,pharmaceuticals,62.0,11.6,0.24,0.12,17.4,28.4,2.0,ground,0.6916426512968299,0.4775520658476484,0.1917360468345676
plastic,pharmaceuticals,47.0,6.5,0.21,0.08,8.35,27.4,2.0,ground,0.31906134211609716,0.3523925838301657,0.08700331032187573
glass,electronics,89.0,12.5,0.43,0.01,17.32,78.7,3.0,air,0.6883491148620832,0.3072651502444559,0.3892883886428463
paper,electronics,50.0,8.1,0.17,0.9,1.49,80.4,3.0,air,0.03664059283655825,0.5621833409925434,0.4260549583062058
paper,pharmaceuticals,39.0,6.0,0.22,0.9,1.33,80.0,2.0,ground,0.03005351996706464,0.23130471014228166,0.3460085538458439
bagasse,home,43.0,6.0,0.27,0.93,0.72,84.5,1.0,ground,0.004940304652120214,0.17569042410190794,0.3775066871589072
jute,food,42.0,5.8,0.18,0.88,1.57,73.7,1.0,ground,0.03993412927130507,0.3784190323434442,0.34132167571340577
glass,electronics,92.0,14.1,0.4,0.02,14.02,94.3,3.0,air,0.5524907369287773,0.37768419473923526,0.4738880658144663
paper,food,48.0,8.4,0.23,0.99,1.36,77.6,1.0,ground,0.031288596130094694,0.32937794303418483,0.42976756438187996
paper,cosmetics,34.0,4.9,0.26,0.88,1.71,78.7,2.0,ground,0.045697818032111974,0.09885090315907198,0.298220380840532
bamboo,cosmetics,59.0,10.0,0.24,0.89,0.83,78.7,2.0,ground,0.009468917249897077,0.4313350526975944,0.4829284302468796
bagasse,pharmaceuticals,39.0,6.3,0.21,0.95,0.98,89.6,2.0,ground,0.015644298065047347,0.258236240414395,0.3820190439879665
paper,pharmaceuticals,53.0,8.5,0.23,0.86,1.61,80.6,2.0,ground,0.04158089748867848,0.38284638712453484,0.4320101347134742
paper,home,49.0,7.8,0.17,0.89,1.12,87.5,1.0,ground,0.021407986825854267,0.5437438482006417,0.43180545964538647
jute,home,38.0,5.8,0.18,0.96,1.5,69.0,1.0,ground,0.03705228489090161,0.32483416398389103,0.330534489869554
paper,cosmetics,45.0,7.8,0.16,0.97,1.31,87.1,2.0,ground,0.02923013585837794,0.5338145979956471,0.4295430586877792
glass,food,69.0,13.1,0.43,0.02,21.95,78.7,1.0,ground,0.8789625360230547,0.19847505449002395,0.29337863289572674
bamboo,cosmetics,41.0,5.8,0.32,0.8,1.25,73.0,2.0,ground,0.02675998353231783,0.09073612748399248,0.3105548388609814
bagasse,electronics,40.0,6.1,0.17,0.94,0.8,75.0,3.0,air,0.008233841086867026,0.3919726382980664,0.35526397195820897
bamboo,home,58.0,9.9,0.3,0.77,0.84,78.7,1.0,ground,0.009880609304240428,0.28384295248897756,0.44877631889725506
bagasse,electronics,42.0,6.2,0.15,0.94,0.68,83.7,3.0,air,0.0032935364347468125,0.5129161910014439,0.3852014183598037
jute,cosmetics,41.0,6.6,0.17,0.98,1.08,71.3,2.0,ground,0.01976121860848086,0.413248976134876,0.3655921906761345
paper,home,33.0,6.3,0.23,0.94,1.09,90.3,1.0,ground,0.02017291066282421,0.1501013952018345,0.35345094566346325
bagasse,pharmaceuticals,34.0,5.7,0.14,0.95,1.0,82.9,2.0,ground,0.01646768217373405,0.4218599652614295,0.34343158080279146
plastic,pharmaceuticals,68.0,11.5,0.36,0.06,10.17,29.8,2.0,ground,0.3939892960065871,0.27058096393137177,0.22829807350683035
bamboo,cosmetics,54.0,9.7,0.22,0.81,0.92,69.0,2.0,ground,0.013174145738987241,0.43626703864907745,0.4222490474081643
plastic,food,62.0,8.3,0.22,0.15,12.92,31.4,1.0,ground,0.5072046109510087,0.508606684004417,0.17923716319116795
metal,cosmetics,89.0,16.1,0.76,0.0,23.02,92.2,2.0,ground,0.9230135858377932,0.07154131516713008,0.4160218183775051
glass,electronics,88.0,11.9,0.39,0.02,13.32,88.4,3.0,air,0.5236722931247427,0.3557503588364125,0.4182275768283677
bamboo,food,63.0,12.2,0.24,0.83,1.39,73.5,1.0,ground,0.03252367229312474,0.49362754868244996,0.505029703105827
plastic,cosmetics,73.0,13.7,0.23,0.1,1.48,37.2,2.0,ground,0.036228900782214905,0.6470434049827353,0.3483490494704444
jute,food,37.0,5.6,0.26,0.93,1.48,69.2,1.0,ground,0.036228900782214905,0.13316588713170607,0.31209603446167494
bamboo,food,40.0,6.6,0.23,0.83,1.19,79.6,1.0,ground,0.024289831206257717,0.2266346583115513,0.3434813869751663
glass,electronics,90.0,13.6,0.4,0.02,13.49,93.1,3.0,air,0.5306710580485797,0.3626134044637297,0.4581450972992888
paper,home,47.0,7.4,0.12,0.94,1.23,81.4,1.0,ground,0.025936599423631124,0.8312081335310986,0.4183593300758443
plastic,cosmetics,68.0,11.7,0.3,0.18,14.3,38.5,2.0,ground,0.5640181144503912,0.378688380251833,0.2603354832468591
plastic,food,60.0,8.7,0.23,0.21,15.47,30.8,1.0,ground,0.6121860848085633,0.45833124936973496,0.17547721118299403
glass,food,88.0,12.5,0.26,0.02,13.89,94.9,1.0,ground,0.5471387402223138,0.6701490147034666,0.44694072089898756
jute,home,37.0,8.4,0.26,0.89,1.08,68.9,1.0,ground,0.01976121860848086,0.15913398311099672,0.34296250864875427
bamboo,cosmetics,51.0,8.1,0.35,0.89,1.26,65.1,2.0,ground,0.02717167558666118,0.1452494038728218,0.3845896567257796
glass,pharmaceuticals,74.0,9.9,0.59,0.02,12.6,90.7,2.0,ground,0.49403046521202143,0.08097892584515078,0.32332829601129126
metal,food,81.0,10.9,0.42,0.0,22.58,94.1,2.0,ground,0.9048991354466858,0.2657011092373289,0.3416952196155285
jute,pharmaceuticals,44.0,8.5,0.2,0.9,1.54,78.7,2.0,ground,0.03869905310827501,0.3710514645929461,0.39945893155701195
paper,home,52.0,9.6,0.18,0.99,1.34,83.6,1.0,ground,0.030465212021407992,0.5632868281839027,0.4794965313076637
glass,food,68.0,11.3,0.32,0.84,9.54,89.0,1.0,ground,0.3680526965829559,0.33563631639872066,0.509108229195101
bamboo,pharmaceuticals,50.0,9.1,0.34,0.85,0.75,79.9,2.0,ground,0.006175380815150269,0.15722494360435305,0.4190847732416403
plastic,electronics,77.0,8.4,0.33,0.16,15.03,41.2,3.0,air,0.5940716344174558,0.3621015800558072,0.2512232758984125
jute,cosmetics,41.0,5.8,0.26,0.9,1.02,78.4,2.0,ground,0.01729106628242075,0.17211803110064208,0.3470398689182271
bagasse,pharmaceuticals,44.0,6.1,0.25,0.97,0.61,78.2,2.0,ground,0.00041169205434335156,0.22130894999876102,0.38014854486151756
metal,home,92.0,16.8,0.71,0.0,1.48,90.3,1.0,ground,0.036228900782214905,0.1075905645821114,0.5269648600267921
bamboo,pharmaceuticals,45.0,8.0,0.22,0.82,1.39,81.8,2.0,ground,0.03252367229312474,0.3189891287548146,0.38658431337079524
plastic,food,45.0,8.5,0.36,0.2,1.48,33.1,1.0,ground,0.036228900782214905,0.09642965801188391,0.15833302303817756
jute,home,55.0,9.1,0.26,0.95,1.12,79.5,1.0,ground,0.021407986825854267,0.3325637669726879,0.4643588201923531
paper,home,46.0,6.3,0.18,0.89,1.19,90.0,1.0,ground,0.024289831206257717,0.43870200924794145,0.4026193314596581
bamboo,pharmaceuticals,44.0,6.7,0.29,0.76,1.16,72.9,2.0,ground,0.023054755043227664,0.1596458374624564,0.3301308405298194
paper,food,35.0,5.2,0.15,0.97,1.48,87.0,1.0,ground,0.036228900782214905,0.38431264983054597,0.3507590363522983
jute,pharmaceuticals,59.0,10.6,0.21,1.0,1.62,67.9,2.0,ground,0.04199258954302182,0.5372605263903983,0.4897373062258692
paper,electronics,48.0,6.7,0.19,0.88,1.29,84.4,3.0,air,0.028406751749691234,0.4322861293091053,0.4020349413285247
plastic,pharmaceuticals,73.0,10.0,0.28,0.13,16.4,37.4,2.0,ground,0.6504734458624948,0.45286514267414923,0.23966021228626905
paper,pharmaceuticals,43.0,6.1,0.14,0.87,1.27,93.3,2.0,ground,0.02758336764100453,0.5837625605324034,0.39228442387264995
glass,pharmaceuticals,86.0,17.0,0.41,0.03,18.45,94.5,2.0,ground,0.7348703170028817,0.3438521454092211,0.47042913426894684
bagasse,home,39.0,7.0,0.15,1.0,0.72,80.3,1.0,ground,0.004940304652120214,0.47755021717944696,0.3877985795825131
bamboo,food,46.0,6.2,0.33,0.77,0.88,78.7,1.0,ground,0.011527377521613834,0.11950765432958271,0.34423184667909823
plastic,cosmetics,61.0,9.6,0.2,0.24,14.09,40.4,2.0,ground,0.5553725813091808,0.5892759622223847,0.22565465191521186
bamboo,home,45.0,6.6,0.29,0.76,1.23,67.5,1.0,ground,0.025936599423631124,0.16712925726155112,0.32171275720101056
plastic,food,57.0,10.8,0.26,0.07,13.32,26.3,1.0,ground,0.5236722931247427,0.366878750945322,0.16018563009396572
glass,pharmaceuticals,84.0,11.4,0.39,0.01,15.06,95.0,2.0,ground,0.5953067105804859,0.32792736318823107,0.3985149750771116
plastic,food,66.0,9.9,0.33,0.24,1.48,53.1,1.0,ground,0.036228900782214905,0.2926846434775201,0.3199709633449158
paper,cosmetics,45.0,6.1,0.14,0.9,0.86,82.7,2.0,ground,0.010703993412927132,0.6182099212283555,0.38682735412871144
plastic,cosmetics,74.0,10.0,0.33,0.19,7.6,39.2,2.0,ground,0.2881844380403458,0.3518717157179544,0.2922692597759964
paper,cosmetics,32.0,6.0,0.17,0.94,1.48,78.7,2.0,ground,0.036228900782214905,0.2770804139792944,0.3239541323152971
paper,electronics,54.0,8.4,0.16,0.99,1.09,86.8,3.0,air,0.02017291066282421,0.6784936420954404,0.48106919222991956
bamboo,food,57.0,9.6,0.27,0.88,1.26,82.8,1.0,ground,0.02717167558666118,0.332872995700483,0.4712990166787457
paper,cosmetics,49.0,7.0,0.17,0.95,1.67,78.7,2.0,ground,0.04405104981473857,0.5323964680210099,0.4125984744038191
plastic,electronics,62.0,9.6,0.21,0.08,16.51,54.7,3.0,air,0.6550020584602718,0.5602254881991228,0.21676852188369802
glass,cosmetics,94.0,14.4,0.56,0.01,14.03,93.7,2.0,ground,0.5529024289831206,0.20484409338177487,0.4715956332183824
metal,food,90.0,16.3,0.66,0.0,13.09,89.2,1.0,ground,0.5142033758748457,0.12644993642514485,0.465124990658611
paper,cosmetics,33.0,6.0,0.22,0.86,1.55,91.0,2.0,ground,0.039110745162618366,0.16554139618288197,0.3336807099693846
bagasse,cosmetics,43.0,6.3,0.21,0.9,0.78,78.0,2.0,ground,0.007410456978180323,0.3041661640318441,0.3663326335433804
paper,cosmetics,39.0,5.9,0.22,0.88,1.47,94.1,2.0,ground,0.03581720872787155,0.230208654909625,0.3691330314206097
jute,pharmaceuticals,36.0,6.3,0.28,0.86,1.37,72.8,2.0,ground,0.03170028818443805,0.10236199580482672,0.3096075232762438
paper,food,52.0,10.1,0.16,0.93,1.19,80.0,1.0,ground,0.024289831206257717,0.6739724219673219,0.4689238319636471
metal,food,96.0,14.1,0.54,0.0,15.33,90.1,1.0,ground,0.6064223960477563,0.22972284353552397,0.4629382404494895
